,subject,net2,MeanGVC
0,CC110033,Aud.,0.23015547367524755
1,CC110033,CON,0.15916736759264313
2,CC110033,DAN,0.21928282230012652
3,CC110033,DMN,0.20758437233575355
4,CC110033,FPN,0.2074021714165383
5,CC110033,Motor,0.22887868504370443
6,CC110033,SAN,0.14915775016957625
7,CC110033,Subc.,0.17073941408685273
8,CC110033,VAN,0.19435531278949106
9,CC110033,Vis.,0.1897710067865489
10,CC110033,Whole Brain,0.20000956555206925
11,CC110037,Aud.,0.2127850719439735
12,CC110037,CON,0.19943092492683548
13,CC110037,DAN,0.1651691409755254
14,CC110037,DMN,0.19036543979331097
15,CC110037,FPN,0.22235369586964826
16,CC110037,Motor,0.16951543932146856
17,CC110037,SAN,0.1995649635413398
18,CC110037,Subc.,0.21959512853951876
19,CC110037,VAN,0.18770879678693547
20,CC110037,Vis.,0.19558243291542635
21,CC110037,Whole Brain,0.194432907134569
22,CC110045,Aud.,0.1940886831114434
23,CC110045,CON,0.19658259066837125
24,CC110045,DAN,0.20815442385101893
25,CC110045,DMN,0.1761675522877358
26,CC110045,FPN,0.18545592233030564
27,CC110045,Motor,0.22215886827157966
28,CC110045,SAN,0.18406320409000615
29,CC110045,Subc.,0.17271268184140057
30,CC110045,VAN,0.2446497986525234
31,CC110045,Vis.,0.18093997271339946
32,CC110045,Whole Brain,0.19153024393076687
33,CC110056,Aud.,0.24531943667937703
34,CC110056,CON,0.2118684749141222
35,CC110056,DAN,0.1384524138118665
36,CC110056,DMN,0.20241365575087356
37,CC110056,FPN,0.18842199180431268
38,CC110056,Motor,0.2194339475249193
39,CC110056,SAN,0.2242566638256946
40,CC110056,Subc.,0.2056291694631425
41,CC110056,VAN,0.1098292046780499
42,CC110056,Vis.,0.20804493009714975
43,CC110056,Whole Brain,0.20283405319904382
44,CC110069,Aud.,0.22412828105823165
45,CC110069,CON,0.2071574720579443
46,CC110069,DAN,0.17341938951099098
47,CC110069,DMN,0.20734453893353263
48,CC110069,FPN,0.19108896553267
49,CC110069,Motor,0.20599879602340448
50,CC110069,SAN,0.20286628953744704
51,CC110069,Subc.,0.1647754523068061
52,CC110069,VAN,0.20900148801469906
53,CC110069,Vis.,0.1734644567772695
54,CC110069,Whole Brain,0.19725881199555564
55,CC110087,Aud.,0.20115277799896347
56,CC110087,CON,0.1969383598989885
57,CC110087,DAN,0.2066594950166649
58,CC110087,DMN,0.2008948100150257
59,CC110087,FPN,0.21010668720226633
60,CC110087,Motor,0.21766198369744547
61,CC110087,SAN,0.1832209430640669
62,CC110087,Subc.,0.16171561707967708
63,CC110087,VAN,0.2183904876346111
64,CC110087,Vis.,0.16346237711540376
65,CC110087,Whole Brain,0.19630040302543816
66,CC110098,Aud.,0.22922803661248523
67,CC110098,CON,0.21015363186672922
68,CC110098,DAN,0.17616446496368135
69,CC110098,DMN,0.19322066568129345
70,CC110098,FPN,0.20103864186086168
71,CC110098,Motor,0.21349700727144388
72,CC110098,SAN,0.20791317212234606
73,CC110098,Subc.,0.16742310432073937
74,CC110098,VAN,0.19109654244948082
75,CC110098,Vis.,0.17077714343198822
76,CC110098,Whole Brain,0.19599153116750206
77,CC110101,Aud.,0.20731103327892886
78,CC110101,CON,0.16020716494417359
79,CC110101,DAN,0.20854230583923547
80,CC110101,DMN,0.18979369040965555
81,CC110101,FPN,0.22350700930000247
82,CC110101,Motor,0.1943700147367326
83,CC110101,SAN,0.18534193413101893
84,CC110101,Subc.,0.2329367080955298
85,CC110101,VAN,0.1604517015305652
86,CC110101,Vis.,0.1975417025632065
87,CC110101,Whole Brain,0.19650067691950224
88,CC110126,Aud.,0.215359757466471
89,CC110126,CON,0.2023009663016557
