,subject,net1,net2,MeanBVC
0,CC110033,FPN,CON,146.3269418114668
1,CC110033,FPN,SAN,130.05970412754647
2,CC110033,FPN,VAN,165.34219878624103
3,CC110033,FPN,DAN,167.24377008595422
4,CC110033,FPN,DMN,152.46335639778036
5,CC110033,FPN,Motor,130.11334384760193
6,CC110033,FPN,Aud.,168.19080254546296
7,CC110033,FPN,Vis.,137.2812121325802
8,CC110033,FPN,Subc.,128.36817375520738
9,CC110033,FPN,Whole Brain,141.7226924463746
10,CC110033,CON,FPN,134.62301798096485
11,CC110033,CON,SAN,109.13309461397064
12,CC110033,CON,VAN,174.3822186105497
13,CC110033,CON,DAN,171.88822546931758
14,CC110033,CON,DMN,153.9924188255312
15,CC110033,CON,Motor,111.79101863137778
16,CC110033,CON,Aud.,159.95434731787535
17,CC110033,CON,Vis.,158.93807558913934
18,CC110033,CON,Subc.,152.10736125050641
19,CC110033,CON,Whole Brain,140.84537834133056
20,CC110033,SAN,FPN,139.33242549312402
21,CC110033,SAN,CON,132.51723169561538
22,CC110033,SAN,VAN,179.84161902824917
23,CC110033,SAN,DAN,173.79078757469307
24,CC110033,SAN,DMN,160.8807648678282
25,CC110033,SAN,Motor,132.25890728614561
26,CC110033,SAN,Aud.,165.67480731224904
27,CC110033,SAN,Vis.,168.61242606332627
28,CC110033,SAN,Subc.,159.21788659533394
29,CC110033,SAN,Whole Brain,151.00985143929174
30,CC110033,VAN,FPN,105.40125861535725
31,CC110033,VAN,CON,122.86940663721855
32,CC110033,VAN,SAN,106.50791225354594
33,CC110033,VAN,DAN,110.04088633451619
34,CC110033,VAN,DMN,115.02459697311083
35,CC110033,VAN,Motor,100.2610968568626
36,CC110033,VAN,Aud.,130.18532305398014
37,CC110033,VAN,Vis.,110.70846737655472
38,CC110033,VAN,Subc.,103.21822852510262
39,CC110033,VAN,Whole Brain,110.29558978357785
40,CC110033,DAN,FPN,117.79477226052512
41,CC110033,DAN,CON,136.01977778300835
42,CC110033,DAN,SAN,114.5429197275572
43,CC110033,DAN,VAN,120.85209326457151
44,CC110033,DAN,DMN,122.6809527008235
45,CC110033,DAN,Motor,123.71660962823613
46,CC110033,DAN,Aud.,134.63716394294013
47,CC110033,DAN,Vis.,125.48106222060903
48,CC110033,DAN,Subc.,121.3699865765671
49,CC110033,DAN,Whole Brain,122.97981371413222
50,CC110033,DMN,FPN,139.7900641012196
51,CC110033,DMN,CON,153.79302229947186
52,CC110033,DMN,SAN,136.3145307598112
53,CC110033,DMN,VAN,163.04790626935048
54,CC110033,DMN,DAN,157.04577192032284
55,CC110033,DMN,Motor,144.16678551293936
56,CC110033,DMN,Aud.,155.07583747781155
57,CC110033,DMN,Vis.,152.30008176550382
58,CC110033,DMN,Subc.,152.6889142089112
59,CC110033,DMN,Whole Brain,145.94188842652974
60,CC110033,Motor,FPN,134.54289711540986
61,CC110033,Motor,CON,136.23372266474976
62,CC110033,Motor,SAN,132.95384532253823
63,CC110033,Motor,VAN,165.16858149079792
64,CC110033,Motor,DAN,171.0631373865482
65,CC110033,Motor,DMN,162.55214884879598
66,CC110033,Motor,Aud.,169.83368602597184
67,CC110033,Motor,Vis.,150.02627738065087
68,CC110033,Motor,Subc.,134.53690498636064
69,CC110033,Motor,Whole Brain,145.57953908754627
70,CC110033,Aud.,FPN,129.40630987055914
71,CC110033,Aud.,CON,133.72999636000938
72,CC110033,Aud.,SAN,120.53688803481643
73,CC110033,Aud.,VAN,152.31406971355648
74,CC110033,Aud.,DAN,141.75935503610924
75,CC110033,Aud.,DMN,130.31821096442684
76,CC110033,Aud.,Motor,129.73689958280966
77,CC110033,Aud.,Vis.,143.33980074163728
78,CC110033,Aud.,Subc.,138.6248615882552
79,CC110033,Aud.,Whole Brain,133.1266809800609
80,CC110033,Vis.,FPN,115.84737982124223
81,CC110033,Vis.,CON,144.817656398782
82,CC110033,Vis.,SAN,127.79400732968125
83,CC110033,Vis.,VAN,143.72568449784646
84,CC110033,Vis.,DAN,151.3864980811947
85,CC110033,Vis.,DMN,143.5476369602548
86,CC110033,Vis.,Motor,118.40292741386344
87,CC110033,Vis.,Aud.,158.74070141141996
88,CC110033,Vis.,Subc.,106.34618816250541
89,CC110033,Vis.,Whole Brain,130.8159501721875
90,CC110033,Subc.,FPN,122.9481623560049
91,CC110033,Subc.,CON,161.1366720231912
92,CC110033,Subc.,SAN,144.894450990956
93,CC110033,Subc.,VAN,157.3802336974475
94,CC110033,Subc.,DAN,167.41568468621668
95,CC110033,Subc.,DMN,163.54356787784812
96,CC110033,Subc.,Motor,122.82775087211577
97,CC110033,Subc.,Aud.,171.9180471092162
98,CC110033,Subc.,Vis.,121.90683249428673
99,CC110033,Subc.,Whole Brain,141.83754850196138
100,CC110033,Whole Brain,FPN,129.08284380991532
101,CC110033,Whole Brain,CON,141.13460307115668
102,CC110033,Whole Brain,SAN,127.73352062581284
103,CC110033,Whole Brain,VAN,157.7007133008433
104,CC110033,Whole Brain,DAN,157.71558130915633
105,CC110033,Whole Brain,DMN,146.70924177949567
106,CC110033,Whole Brain,Motor,126.7987861767606
107,CC110033,Whole Brain,Aud.,158.030388141637
108,CC110033,Whole Brain,Vis.,141.945185938403
109,CC110033,Whole Brain,Subc.,133.75071737078204
110,CC110037,FPN,CON,205.85202507141193
111,CC110037,FPN,SAN,186.12093777113407
112,CC110037,FPN,VAN,215.2019890479679
113,CC110037,FPN,DAN,186.6855310744918
114,CC110037,FPN,DMN,194.68392897247625
115,CC110037,FPN,Motor,194.26201025174137
116,CC110037,FPN,Aud.,196.04855096967745
117,CC110037,FPN,Vis.,175.98599812590163
118,CC110037,FPN,Subc.,169.9034057122189
119,CC110037,FPN,Whole Brain,186.13748783554058
120,CC110037,CON,FPN,190.09632708784338
121,CC110037,CON,SAN,152.74241007898246
122,CC110037,CON,VAN,208.72843189863792
123,CC110037,CON,DAN,204.10538636479345
124,CC110037,CON,DMN,191.9174736932967
125,CC110037,CON,Motor,159.5863288010102
126,CC110037,CON,Aud.,183.19239393428575
127,CC110037,CON,Vis.,196.52232357044699
128,CC110037,CON,Subc.,177.34311670105066
129,CC110037,CON,Whole Brain,180.35893285199123
130,CC110037,SAN,FPN,204.77259384821363
131,CC110037,SAN,CON,183.90633271059576
132,CC110037,SAN,VAN,209.88141923732655
133,CC110037,SAN,DAN,199.47666601998708
134,CC110037,SAN,DMN,195.3138377103969
135,CC110037,SAN,Motor,189.9714357487471
136,CC110037,SAN,Aud.,193.7496109376192
137,CC110037,SAN,Vis.,202.33394885606
138,CC110037,SAN,Subc.,183.28123821629126
139,CC110037,SAN,Whole Brain,192.99139344576918
140,CC110037,VAN,FPN,181.06542227377992
141,CC110037,VAN,CON,186.69568513324506
142,CC110037,VAN,SAN,163.13695441159226
143,CC110037,VAN,DAN,146.80890127131053
144,CC110037,VAN,DMN,158.34484310781426
145,CC110037,VAN,Motor,168.20926292688677
146,CC110037,VAN,Aud.,166.9202575264286
147,CC110037,VAN,Vis.,163.19329950276418
148,CC110037,VAN,Subc.,151.24254077074428
149,CC110037,VAN,Whole Brain,163.71146795368895
150,CC110037,DAN,FPN,174.5346256685618
151,CC110037,DAN,CON,198.12441011943554
152,CC110037,DAN,SAN,165.97023322396905
153,CC110037,DAN,VAN,171.84470788722953
154,CC110037,DAN,DMN,177.58617595805413
155,CC110037,DAN,Motor,186.51002467829377
156,CC110037,DAN,Aud.,172.9138852214032
157,CC110037,DAN,Vis.,172.9945451744233
158,CC110037,DAN,Subc.,152.94017850663298
159,CC110037,DAN,Whole Brain,174.2947110084553
160,CC110037,DMN,FPN,180.03066280458256
161,CC110037,DMN,CON,190.27870323072403
162,CC110037,DMN,SAN,166.97091232778823
163,CC110037,DMN,VAN,187.35745761653894
164,CC110037,DMN,DAN,178.84024393796474
165,CC110037,DMN,Motor,184.11968631543323
166,CC110037,DMN,Aud.,180.65354079195757
167,CC110037,DMN,Vis.,177.1509429651755
168,CC110037,DMN,Subc.,161.6859258012677
169,CC110037,DMN,Whole Brain,176.59908171317315
170,CC110037,Motor,FPN,194.45123909698503
171,CC110037,Motor,CON,183.80870540831557
172,CC110037,Motor,SAN,173.30097440658102
173,CC110037,Motor,VAN,193.8775411390067
174,CC110037,Motor,DAN,192.6095237603494
175,CC110037,Motor,DMN,191.8192979774004
176,CC110037,Motor,Aud.,189.09777765243476
177,CC110037,Motor,Vis.,195.25970899698413
178,CC110037,Motor,Subc.,180.91379858329472
179,CC110037,Motor,Whole Brain,184.64673961513054
180,CC110037,Aud.,FPN,168.13668276023105
181,CC110037,Aud.,CON,173.85431621134998
182,CC110037,Aud.,SAN,155.7396012191317
183,CC110037,Aud.,VAN,185.2601904361077
184,CC110037,Aud.,DAN,159.5598060493035
185,CC110037,Aud.,DMN,171.24411962313755
186,CC110037,Aud.,Motor,172.2428594021698
187,CC110037,Aud.,Vis.,169.62873799354745
188,CC110037,Aud.,Subc.,156.00721846044107
189,CC110037,Aud.,Whole Brain,168.06114889250532
190,CC110037,Vis.,FPN,172.9999708558399
191,CC110037,Vis.,CON,205.78026083640935
192,CC110037,Vis.,SAN,180.56030918900754
193,CC110037,Vis.,VAN,196.35184934133113
194,CC110037,Vis.,DAN,175.87219624297512
195,CC110037,Vis.,DMN,183.702569209181
196,CC110037,Vis.,Motor,191.1787429079125
197,CC110037,Vis.,Aud.,190.8210478619004
198,CC110037,Vis.,Subc.,159.30286429900235
199,CC110037,Vis.,Whole Brain,181.28582196761602
200,CC110037,Subc.,FPN,179.5016863262526
201,CC110037,Subc.,CON,194.45460544122872
202,CC110037,Subc.,SAN,167.46745040092122
203,CC110037,Subc.,VAN,200.75271318756765
204,CC110037,Subc.,DAN,182.90220135245949
205,CC110037,Subc.,DMN,182.83307580155173
206,CC110037,Subc.,Motor,181.6124438419805
207,CC110037,Subc.,Aud.,184.05077829689756
208,CC110037,Subc.,Vis.,173.3131210991158
209,CC110037,Subc.,Whole Brain,178.45018441445177
210,CC110037,Whole Brain,FPN,179.62325851486014
211,CC110037,Whole Brain,CON,188.4893900094327
212,CC110037,Whole Brain,SAN,169.74476965210084
213,CC110037,Whole Brain,VAN,193.6851851922078
214,CC110037,Whole Brain,DAN,180.4083332417553
215,CC110037,Whole Brain,DMN,182.24810001802467
216,CC110037,Whole Brain,Motor,179.76080459682032
217,CC110037,Whole Brain,Aud.,184.29771292805708
218,CC110037,Whole Brain,Vis.,179.9766412945556
219,CC110037,Whole Brain,Subc.,165.25149025816467
220,CC110045,FPN,CON,185.25562990591473
221,CC110045,FPN,SAN,158.0787217328114
222,CC110045,FPN,VAN,196.47890708717492
223,CC110045,FPN,DAN,173.2907828117301
224,CC110045,FPN,DMN,191.9772649211447
225,CC110045,FPN,Motor,191.9942125545723
226,CC110045,FPN,Aud.,197.60398981229866
227,CC110045,FPN,Vis.,184.29854716429398
228,CC110045,FPN,Subc.,185.6772328155823
229,CC110045,FPN,Whole Brain,181.46757449307154
230,CC110045,CON,FPN,192.2969558416171
231,CC110045,CON,SAN,165.54018441979883
232,CC110045,CON,VAN,204.8022455624089
233,CC110045,CON,DAN,193.15399222861663
234,CC110045,CON,DMN,198.16605821430295
235,CC110045,CON,Motor,175.1664111396001
236,CC110045,CON,Aud.,196.78033014069817
237,CC110045,CON,Vis.,211.65781358029483
238,CC110045,CON,Subc.,223.73139403662532
239,CC110045,CON,Whole Brain,190.78234529431174
240,CC110045,SAN,FPN,178.58161424696277
241,CC110045,SAN,CON,183.02520753401052
242,CC110045,SAN,VAN,213.67492870305261
243,CC110045,SAN,DAN,186.76266850038635
244,CC110045,SAN,DMN,200.11359705907114
245,CC110045,SAN,Motor,202.61209434922105
246,CC110045,SAN,Aud.,196.14562582292666
247,CC110045,SAN,Vis.,211.75567473441623
248,CC110045,SAN,Subc.,218.53649431435267
249,CC110045,SAN,Whole Brain,194.5114473355798
250,CC110045,VAN,FPN,151.7109968491278
251,CC110045,VAN,CON,150.40861993521185
252,CC110045,VAN,SAN,145.38638078549346
253,CC110045,VAN,DAN,142.86392456925032
254,CC110045,VAN,DMN,160.61403233562513
255,CC110045,VAN,Motor,153.51692782011006
256,CC110045,VAN,Aud.,164.4314620582871
257,CC110045,VAN,Vis.,154.39050521880807
258,CC110045,VAN,Subc.,154.1716278051953
259,CC110045,VAN,Whole Brain,153.6884019513213
260,CC110045,DAN,FPN,151.76478702880263
261,CC110045,DAN,CON,161.34546028517326
262,CC110045,DAN,SAN,139.97656509798148
263,CC110045,DAN,VAN,164.99733153160415
264,CC110045,DAN,DMN,171.73568241881182
265,CC110045,DAN,Motor,175.49644238007068
266,CC110045,DAN,Aud.,170.4103868142921
267,CC110045,DAN,Vis.,165.10446901050284
268,CC110045,DAN,Subc.,166.6519440524628
269,CC110045,DAN,Whole Brain,163.5415292529512
270,CC110045,DMN,FPN,177.79466594637753
271,CC110045,DMN,CON,177.63861904560756
272,CC110045,DMN,SAN,159.92140480995982
273,CC110045,DMN,VAN,197.33993055575613
274,CC110045,DMN,DAN,179.9878359491781
275,CC110045,DMN,Motor,196.0052459776998
276,CC110045,DMN,Aud.,173.51757177602514
277,CC110045,DMN,Vis.,194.85050567676626
278,CC110045,DMN,Subc.,211.1188143206276
279,CC110045,DMN,Whole Brain,180.12586034086593
280,CC110045,Motor,FPN,196.85682301210042
281,CC110045,Motor,CON,178.87292377778584
282,CC110045,Motor,SAN,189.5382289222364
283,CC110045,Motor,VAN,200.69502514534392
284,CC110045,Motor,DAN,198.4122955082578
285,CC110045,Motor,DMN,213.59990909638867
286,CC110045,Motor,Aud.,209.75670166557478
287,CC110045,Motor,Vis.,198.52459589111783
288,CC110045,Motor,Subc.,178.24311321777066
289,CC110045,Motor,Whole Brain,193.60248174453395
290,CC110045,Aud.,FPN,172.48733071699994
291,CC110045,Aud.,CON,162.93687336920098
292,CC110045,Aud.,SAN,140.94389198679326
293,CC110045,Aud.,VAN,190.59787099316083
294,CC110045,Aud.,DAN,169.12697028682513
295,CC110045,Aud.,DMN,160.7525336874039
296,CC110045,Aud.,Motor,181.35995008990864
297,CC110045,Aud.,Vis.,182.47420273520112
298,CC110045,Aud.,Subc.,191.83869062031133
299,CC110045,Aud.,Whole Brain,169.36670598337037
300,CC110045,Vis.,FPN,171.42418523123277
301,CC110045,Vis.,CON,188.91032862763396
302,CC110045,Vis.,SAN,175.28021668898617
303,CC110045,Vis.,VAN,185.8581352001767
304,CC110045,Vis.,DAN,176.54102212768728
305,CC110045,Vis.,DMN,192.96842351929232
306,CC110045,Vis.,Motor,181.11222651097546
307,CC110045,Vis.,Aud.,198.54855581178782
308,CC110045,Vis.,Subc.,157.42348206639295
309,CC110045,Vis.,Whole Brain,181.07105876424146
310,CC110045,Subc.,FPN,192.18557973420067
311,CC110045,Subc.,CON,209.44127660903456
312,CC110045,Subc.,SAN,200.16498374936918
313,CC110045,Subc.,VAN,200.57568349372562
314,CC110045,Subc.,DAN,192.7435230052374
315,CC110045,Subc.,DMN,227.38751991589356
316,CC110045,Subc.,Motor,172.77869640235406
317,CC110045,Subc.,Aud.,226.66528391022857
318,CC110045,Subc.,Vis.,179.81351775827835
319,CC110045,Subc.,Whole Brain,196.37801151610142
320,CC110045,Whole Brain,FPN,175.13169062478576
321,CC110045,Whole Brain,CON,177.26312694347243
322,CC110045,Whole Brain,SAN,164.81736685198663
323,CC110045,Whole Brain,VAN,193.71702341437074
324,CC110045,Whole Brain,DAN,179.46755199342755
325,CC110045,Whole Brain,DMN,187.0869687202435
326,CC110045,Whole Brain,Motor,182.18872563586083
327,CC110045,Whole Brain,Aud.,189.6202829274271
328,CC110045,Whole Brain,Vis.,188.63827723712484
329,CC110045,Whole Brain,Subc.,186.62320607247085
330,CC110056,FPN,CON,244.31398779889236
331,CC110056,FPN,SAN,221.9328114258798
332,CC110056,FPN,VAN,276.41959277775317
333,CC110056,FPN,DAN,283.91716815269075
334,CC110056,FPN,DMN,270.31156408780805
335,CC110056,FPN,Motor,240.29296412155406
336,CC110056,FPN,Aud.,287.9020039057619
337,CC110056,FPN,Vis.,260.24420893540787
338,CC110056,FPN,Subc.,271.1955947391625
