,subject,net1,net2,MeanGVC
0,CC110033,FPN,FPN,0.32400868881401096
1,CC110033,FPN,CON,0.3042770121575666
2,CC110033,FPN,SAN,0.3179997230007076
3,CC110033,FPN,VAN,0.3489628249527867
4,CC110033,FPN,DAN,0.3875123623128549
5,CC110033,FPN,DMN,0.3550483031063047
6,CC110033,FPN,Motor,0.42574768817736025
7,CC110033,FPN,Aud.,0.38895094866118546
8,CC110033,FPN,Vis.,0.29749138728585556
9,CC110033,FPN,Subc.,0.2802949877294515
10,CC110033,FPN,Whole Brain,0.3473440779372962
11,CC110033,CON,FPN,0.39521593576290215
12,CC110033,CON,CON,0.2712708853940768
13,CC110033,CON,SAN,0.3438496159585582
14,CC110033,CON,VAN,0.3928562344758303
15,CC110033,CON,DAN,0.3670933812866168
16,CC110033,CON,DMN,0.4041891237559242
17,CC110033,CON,Motor,0.3996861909946613
18,CC110033,CON,Aud.,0.4099481239041918
19,CC110033,CON,Vis.,0.3838747615699054
20,CC110033,CON,Subc.,0.36221827073795165
21,CC110033,CON,Whole Brain,0.38280210032181267
22,CC110033,SAN,FPN,0.35553930155690233
23,CC110033,SAN,CON,0.27183534972804463
24,CC110033,SAN,SAN,0.32746286582382733
25,CC110033,SAN,VAN,0.3279583905950341
26,CC110033,SAN,DAN,0.33675744293144705
27,CC110033,SAN,DMN,0.3559082977184209
28,CC110033,SAN,Motor,0.3924190458737539
29,CC110033,SAN,Aud.,0.36440432338342355
30,CC110033,SAN,Vis.,0.34235139098631
31,CC110033,SAN,Subc.,0.320576853664297
32,CC110033,SAN,Whole Brain,0.3486233142888324
33,CC110033,VAN,FPN,0.2812450070653042
34,CC110033,VAN,CON,0.22810122359172555
35,CC110033,VAN,SAN,0.25846133977337193
36,CC110033,VAN,VAN,0.2577218249449573
37,CC110033,VAN,DAN,0.28208981627368845
38,CC110033,VAN,DMN,0.28873180601775855
39,CC110033,VAN,Motor,0.2985928710322343
40,CC110033,VAN,Aud.,0.3378806494180814
41,CC110033,VAN,Vis.,0.25304520497620664
42,CC110033,VAN,Subc.,0.2628099967960641
43,CC110033,VAN,Whole Brain,0.27828513078408473
44,CC110033,DAN,FPN,0.29952393669163774
45,CC110033,DAN,CON,0.24758769417093499
46,CC110033,DAN,SAN,0.29879674236843223
47,CC110033,DAN,VAN,0.30088776468286477
48,CC110033,DAN,DAN,0.3349486840941289
49,CC110033,DAN,DMN,0.31036769669279723
50,CC110033,DAN,Motor,0.3536444151987424
51,CC110033,DAN,Aud.,0.34720607299978096
52,CC110033,DAN,Vis.,0.29043398248468283
53,CC110033,DAN,Subc.,0.2818345565598943
54,CC110033,DAN,Whole Brain,0.30935479742393057
55,CC110033,DMN,FPN,0.31355093265870015
56,CC110033,DMN,CON,0.2742999901401936
57,CC110033,DMN,SAN,0.30339906390928595
58,CC110033,DMN,VAN,0.3381904824408057
59,CC110033,DMN,DAN,0.35522145328254956
60,CC110033,DMN,DMN,0.3110474403394309
61,CC110033,DMN,Motor,0.3914419297364187
62,CC110033,DMN,Aud.,0.34929572853331414
63,CC110033,DMN,Vis.,0.2954947245443275
64,CC110033,DMN,Subc.,0.2924366052248779
65,CC110033,DMN,Whole Brain,0.32274420841316204
66,CC110033,Motor,FPN,0.32424938198306436
67,CC110033,Motor,CON,0.24023955093524907
68,CC110033,Motor,SAN,0.28909511266733684
69,CC110033,Motor,VAN,0.2960947968780631
70,CC110033,Motor,DAN,0.29825504840750633
71,CC110033,Motor,DMN,0.3222274477070516
72,CC110033,Motor,Motor,0.3063523067700545
73,CC110033,Motor,Aud.,0.340764121405598
74,CC110033,Motor,Vis.,0.2885267114241822
75,CC110033,Motor,Subc.,0.27298688677296346
76,CC110033,Motor,Whole Brain,0.30377331195762686
77,CC110033,Aud.,FPN,0.33544660131689563
78,CC110033,Aud.,CON,0.27053153916164424
79,CC110033,Aud.,SAN,0.32376250731493517
80,CC110033,Aud.,VAN,0.34832926310299955
81,CC110033,Aud.,DAN,0.3461701753762647
82,CC110033,Aud.,DMN,0.33137047144187737
83,CC110033,Aud.,Motor,0.39990397848456033
84,CC110033,Aud.,Aud.,0.3700991045962201
85,CC110033,Aud.,Vis.,0.335412080490448
86,CC110033,Aud.,Subc.,0.3084758294484428
87,CC110033,Aud.,Whole Brain,0.3404314537416596
88,CC110033,Vis.,FPN,0.36459891788536464
89,CC110033,Vis.,CON,0.3454677894700998
90,CC110033,Vis.,SAN,0.3896145489671066
91,CC110033,Vis.,VAN,0.3936767711212408
92,CC110033,Vis.,DAN,0.45483398220498766
93,CC110033,Vis.,DMN,0.3902459743906895
94,CC110033,Vis.,Motor,0.4794050592370344
95,CC110033,Vis.,Aud.,0.44530795149749575
96,CC110033,Vis.,Vis.,0.3295932597795437
97,CC110033,Vis.,Subc.,0.32824682808119554
98,CC110033,Vis.,Whole Brain,0.3928233363936397
99,CC110033,Subc.,FPN,0.38721332389482804
100,CC110033,Subc.,CON,0.35449537561036165
101,CC110033,Subc.,SAN,0.4083629958290662
102,CC110033,Subc.,VAN,0.4412472841367891
103,CC110033,Subc.,DAN,0.4645395868355893
104,CC110033,Subc.,DMN,0.39417360361206033
105,CC110033,Subc.,Motor,0.46736078064950887
106,CC110033,Subc.,Aud.,0.433960012372803
107,CC110033,Subc.,Vis.,0.33479373606806073
108,CC110033,Subc.,Subc.,0.3317974653534216
109,CC110033,Subc.,Whole Brain,0.39905226394600424
110,CC110033,Whole Brain,FPN,0.335541254393746
111,CC110033,Whole Brain,CON,0.2834247904433925
112,CC110033,Whole Brain,SAN,0.3245860419551904
113,CC110033,Whole Brain,VAN,0.34549943400720856
114,CC110033,Whole Brain,DAN,0.3655247858619762
115,CC110033,Whole Brain,DMN,0.34321535394703057
116,CC110033,Whole Brain,Motor,0.3952163118442711
117,CC110033,Whole Brain,Aud.,0.3762407608739945
118,CC110033,Whole Brain,Vis.,0.3113518024237409
119,CC110033,Whole Brain,Subc.,0.30116856355787436
120,CC110033,Whole Brain,Whole Brain,0.3412686577373094
121,CC110037,FPN,FPN,0.38174434230985665
122,CC110037,FPN,CON,0.4046413305987361
123,CC110037,FPN,SAN,0.4107447727904019
124,CC110037,FPN,VAN,0.34680131298095995
125,CC110037,FPN,DAN,0.34318427862325673
126,CC110037,FPN,DMN,0.3816056977235294
127,CC110037,FPN,Motor,0.314930701733326
128,CC110037,FPN,Aud.,0.42304288030587434
129,CC110037,FPN,Vis.,0.360306044491626
130,CC110037,FPN,Subc.,0.4006101139528942
131,CC110037,FPN,Whole Brain,0.3727117721171955
132,CC110037,CON,FPN,0.3675400011561503
133,CC110037,CON,CON,0.31677901498636113
134,CC110037,CON,SAN,0.34959728327873474
135,CC110037,CON,VAN,0.2822284921050203
136,CC110037,CON,DAN,0.2990144688947963
137,CC110037,CON,DMN,0.32956632293858223
138,CC110037,CON,Motor,0.2999720324384073
139,CC110037,CON,Aud.,0.3517183616627857
140,CC110037,CON,Vis.,0.3181183157652842
141,CC110037,CON,Subc.,0.3306607752132348
142,CC110037,CON,Whole Brain,0.3267538295485817
143,CC110037,SAN,FPN,0.3376880706340372
144,CC110037,SAN,CON,0.3121737713136344
145,CC110037,SAN,SAN,0.3330203798156681
146,CC110037,SAN,VAN,0.2678528207163422
147,CC110037,SAN,DAN,0.28214212873842465
148,CC110037,SAN,DMN,0.3038920645427294
149,CC110037,SAN,Motor,0.28695265889007815
150,CC110037,SAN,Aud.,0.327066517849216
151,CC110037,SAN,Vis.,0.2918421516117969
152,CC110037,SAN,Subc.,0.3145133371617289
153,CC110037,SAN,Whole Brain,0.30575956233843987
154,CC110037,VAN,FPN,0.39558773156819804
155,CC110037,VAN,CON,0.362821429373688
156,CC110037,VAN,SAN,0.39512811351606225
157,CC110037,VAN,VAN,0.3209139789311175
158,CC110037,VAN,DAN,0.3448732493291402
159,CC110037,VAN,DMN,0.3639290451656239
160,CC110037,VAN,Motor,0.3009138354562739
161,CC110037,VAN,Aud.,0.3899461154571781
162,CC110037,VAN,Vis.,0.3398936560974081
163,CC110037,VAN,Subc.,0.3740211388381495
164,CC110037,VAN,Whole Brain,0.3568247125394754
165,CC110037,DAN,FPN,0.37954720145268245
166,CC110037,DAN,CON,0.34921116606202884
167,CC110037,DAN,SAN,0.36864657335736406
168,CC110037,DAN,VAN,0.3010265121875547
169,CC110037,DAN,DAN,0.31466772770223794
170,CC110037,DAN,DMN,0.3477525650270418
171,CC110037,DAN,Motor,0.2955229350315863
172,CC110037,DAN,Aud.,0.4095522384667462
173,CC110037,DAN,Vis.,0.3139690994577211
174,CC110037,DAN,Subc.,0.3267706224379097
175,CC110037,DAN,Whole Brain,0.3396912138113084
176,CC110037,DMN,FPN,0.3652755445642424
177,CC110037,DMN,CON,0.34277329836459014
178,CC110037,DMN,SAN,0.35571549962652826
179,CC110037,DMN,VAN,0.2965618446854884
180,CC110037,DMN,DAN,0.30657470476507165
181,CC110037,DMN,DMN,0.32694291850154145
182,CC110037,DMN,Motor,0.2995034980666243
183,CC110037,DMN,Aud.,0.36184101462575863
184,CC110037,DMN,Vis.,0.30586301106626207
185,CC110037,DMN,Subc.,0.32975412412688
186,CC110037,DMN,Whole Brain,0.32754359700928143
187,CC110037,Motor,FPN,0.3058186772763301
188,CC110037,Motor,CON,0.319723356741167
189,CC110037,Motor,SAN,0.322088075315339
190,CC110037,Motor,VAN,0.2406749694142625
191,CC110037,Motor,DAN,0.2557557563565888
192,CC110037,Motor,DMN,0.313298267904646
193,CC110037,Motor,Motor,0.2926404297383319
194,CC110037,Motor,Aud.,0.3303810375316462
195,CC110037,Motor,Vis.,0.306769630711736
196,CC110037,Motor,Subc.,0.3572041119017646
197,CC110037,Motor,Whole Brain,0.30774473326436025
198,CC110037,Aud.,FPN,0.362746941134104
199,CC110037,Aud.,CON,0.33354462001695173
200,CC110037,Aud.,SAN,0.34577113149754835
201,CC110037,Aud.,VAN,0.29515958780597074
202,CC110037,Aud.,DAN,0.31555971348870804
203,CC110037,Aud.,DMN,0.33339732621636475
204,CC110037,Aud.,Motor,0.30167549761830875
205,CC110037,Aud.,Aud.,0.38355699503309815
206,CC110037,Aud.,Vis.,0.3109669672220702
207,CC110037,Aud.,Subc.,0.33322821484771553
208,CC110037,Aud.,Whole Brain,0.3301564071794118
209,CC110037,Vis.,FPN,0.35358099359814515
210,CC110037,Vis.,CON,0.3311123548904954
211,CC110037,Vis.,SAN,0.3529537804492711
212,CC110037,Vis.,VAN,0.27688166653604657
213,CC110037,Vis.,DAN,0.28434673605163513
214,CC110037,Vis.,DMN,0.32306363883331324
215,CC110037,Vis.,Motor,0.294480246601229
216,CC110037,Vis.,Aud.,0.36387550563446536
217,CC110037,Vis.,Vis.,0.29935485456309796
218,CC110037,Vis.,Subc.,0.34913852950677593
219,CC110037,Vis.,Whole Brain,0.322195869947468
220,CC110037,Subc.,FPN,0.3278144442917878
221,CC110037,Subc.,CON,0.2925127476074906
222,CC110037,Subc.,SAN,0.313397059861984
223,CC110037,Subc.,VAN,0.2534453529593459
224,CC110037,Subc.,DAN,0.26441501582630417
225,CC110037,Subc.,DMN,0.2942168799834694
226,CC110037,Subc.,Motor,0.2880986307554588
227,CC110037,Subc.,Aud.,0.3272563720406372
228,CC110037,Subc.,Vis.,0.2899634627357709
229,CC110037,Subc.,Subc.,0.335862957005626
230,CC110037,Subc.,Whole Brain,0.29911295892504863
231,CC110037,Whole Brain,FPN,0.35378417855250355
232,CC110037,Whole Brain,CON,0.3381779322329346
233,CC110037,Whole Brain,SAN,0.3532755007957575
234,CC110037,Whole Brain,VAN,0.28615626704410346
235,CC110037,Whole Brain,DAN,0.2972387500457577
236,CC110037,Whole Brain,DMN,0.32956555201069804
237,CC110037,Whole Brain,Motor,0.29785926157147047
238,CC110037,Whole Brain,Aud.,0.36323989199467627
239,CC110037,Whole Brain,Vis.,0.31183215278741966
240,CC110037,Whole Brain,Subc.,0.3453066313574012
