,subject,net2,MeanBVC
0,CC110033,Aud.,0.3965687638736265
1,CC110033,CON,0.27546742857724366
2,CC110033,DAN,0.3952089834130684
3,CC110033,DMN,0.36908889992972715
4,CC110033,FPN,0.35263427732507124
5,CC110033,Motor,0.4121096607469398
6,CC110033,SAN,0.32555177491900633
7,CC110033,Subc.,0.30819683252257335
8,CC110033,VAN,0.3559100148814023
9,CC110033,Vis.,0.3249261662505205
10,CC110033,Whole Brain,0.35408647036748503
11,CC110037,Aud.,0.39619424934859415
12,CC110037,CON,0.3592434039553816
13,CC110037,DAN,0.30344922275424896
14,CC110037,DMN,0.3477288871832249
15,CC110037,FPN,0.39125144108091503
16,CC110037,Motor,0.32633289529874293
17,CC110037,SAN,0.3972430733718615
18,CC110037,Subc.,0.35783117772867873
19,CC110037,VAN,0.3088019583494101
20,CC110037,Vis.,0.33103330377062756
21,CC110037,Whole Brain,0.35063965996497687
22,CC110045,Aud.,0.3669056507177488
23,CC110045,CON,0.3504233862652436
24,CC110045,DAN,0.35457552676904813
25,CC110045,DMN,0.33512837631536124
26,CC110045,FPN,0.33619444765425444
27,CC110045,Motor,0.39812867106728456
28,CC110045,SAN,0.3254194562165292
29,CC110045,Subc.,0.3043837497160143
30,CC110045,VAN,0.4305942243406581
31,CC110045,Vis.,0.32199797168590144
32,CC110045,Whole Brain,0.3459978120586197
33,CC110056,Aud.,0.4033548482601483
34,CC110056,CON,0.38849331672615023
35,CC110056,DAN,0.27163983166254163
36,CC110056,DMN,0.36883011360725293
37,CC110056,FPN,0.3666443344259199
38,CC110056,Motor,0.36173363213574666
39,CC110056,SAN,0.3585362255592745
40,CC110056,Subc.,0.39368577896431123
41,CC110056,VAN,0.23276387434000084
42,CC110056,Vis.,0.36387381042159783
43,CC110056,Whole Brain,0.3601935067037187
44,CC110069,Aud.,0.41638248344427237
45,CC110069,CON,0.35403411415320407
46,CC110069,DAN,0.3410280411421772
47,CC110069,DMN,0.38788110145035976
48,CC110069,FPN,0.3511139223907112
49,CC110069,Motor,0.3563523331129611
50,CC110069,SAN,0.34747647630346645
