,subject,net2,MeanGVC
0,CC110033,Aud.,192.45672440618438
1,CC110033,CON,190.75036995766106
2,CC110033,DAN,186.23451408041902
3,CC110033,DMN,189.72711390617454
4,CC110033,FPN,181.59362319257394
5,CC110033,Motor,181.30667437298803
6,CC110033,SAN,169.7141231748531
7,CC110033,Subc.,181.00768227763305
8,CC110033,VAN,194.04364503181444
9,CC110033,Vis.,190.62451936068726
10,CC110033,Whole Brain,185.7738920614166
11,CC110037,Aud.,189.0287310481629
12,CC110037,CON,188.52011278309973
13,CC110037,DAN,184.83590123891017
14,CC110037,DMN,187.22931634349305
15,CC110037,FPN,189.9881534156183
16,CC110037,Motor,186.52573383450533
17,CC110037,SAN,183.23521122974114
18,CC110037,Subc.,176.0641897502434
19,CC110037,VAN,188.33188051833358
20,CC110037,Vis.,183.42624679932848
21,CC110037,Whole Brain,186.04740486096944
22,CC110045,Aud.,192.26077949367735
23,CC110045,CON,184.60137029745513
24,CC110045,DAN,180.6730605455442
25,CC110045,DMN,192.43395332816752
26,CC110045,FPN,182.36135313138922
27,CC110045,Motor,182.57267805439162
28,CC110045,SAN,171.5907407858067
29,CC110045,Subc.,184.49273924417895
30,CC110045,VAN,194.33583506626658
31,CC110045,Vis.,191.36414409528913
32,CC110045,Whole Brain,186.5462277802394
33,CC110056,Aud.,193.97217052139368
34,CC110056,CON,183.11071077443137
35,CC110056,DAN,192.43628902905485
36,CC110056,DMN,191.66783740786275
37,CC110056,FPN,181.40944888895348
38,CC110056,Motor,179.545774711811
39,CC110056,SAN,182.87115366562946
40,CC110056,Subc.,181.15206470121305
41,CC110056,VAN,187.3126857556813
42,CC110056,Vis.,183.94978265730686
43,CC110056,Whole Brain,185.80496370906786
44,CC110069,Aud.,193.56737966562096
45,CC110069,CON,184.67971523848416
46,CC110069,DAN,198.93086735567758
47,CC110069,DMN,191.69863621150216
48,CC110069,FPN,171.40557761504672
49,CC110069,Motor,181.00223417233227
50,CC110069,SAN,171.5189332259605
51,CC110069,Subc.,167.65765390652632
52,CC110069,VAN,218.17122609656147
53,CC110069,Vis.,180.37117275497863
54,CC110069,Whole Brain,184.2294855797149
55,CC110087,Aud.,191.5586860866329
56,CC110087,CON,176.39797330378542
57,CC110087,DAN,201.59748499683144
58,CC110087,DMN,187.03899298274683
59,CC110087,FPN,185.5427003809927
60,CC110087,Motor,180.20822113473832
61,CC110087,SAN,168.539526705189
62,CC110087,Subc.,167.9588372695887
63,CC110087,VAN,209.14428506550092
64,CC110087,Vis.,190.4247772637426
65,CC110087,Whole Brain,184.82139663265642
66,CC110098,Aud.,191.6841213472444
67,CC110098,CON,191.993249008771
68,CC110098,DAN,187.1481591560103
69,CC110098,DMN,185.7979829273083
70,CC110098,FPN,173.03209517019306
71,CC110098,Motor,186.95731135747408
72,CC110098,SAN,176.81138931822105
73,CC110098,Subc.,178.85782032934114
74,CC110098,VAN,203.51752347945413
75,CC110098,Vis.,182.96686343553264
76,CC110098,Whole Brain,184.46636629285544
77,CC110101,Aud.,196.4454568826941
78,CC110101,CON,165.93509668856112
79,CC110101,DAN,192.69452050636698
80,CC110101,DMN,184.40721826922265
81,CC110101,FPN,183.4964805821085
82,CC110101,Motor,178.37256285948044
83,CC110101,SAN,171.08039080357878
84,CC110101,Subc.,174.35518211463022
85,CC110101,VAN,221.6629204230461
86,CC110101,Vis.,190.86952836112243
87,CC110101,Whole Brain,183.913524331594
88,CC110126,Aud.,191.78739453422466
89,CC110126,CON,184.08489275155503
90,CC110126,DAN,182.7796094118216
91,CC110126,DMN,193.3787895991204
92,CC110126,FPN,182.95058278810845
93,CC110126,Motor,183.22778856633624
94,CC110126,SAN,183.5268689690689
95,CC110126,Subc.,169.13296488509957
96,CC110126,VAN,201.68051619223817
97,CC110126,Vis.,184.32674162068736
98,CC110126,Whole Brain,186.3567325041449
99,CC110174,Aud.,185.86737006695523
100,CC110174,CON,194.0223693140181
101,CC110174,DAN,178.13427580781786
102,CC110174,DMN,187.4513184284703
103,CC110174,FPN,187.18354179348825
104,CC110174,Motor,204.5207491214539
105,CC110174,SAN,181.4872128568187
106,CC110174,Subc.,174.33911819955122
107,CC110174,VAN,177.52443357325703
108,CC110174,Vis.,184.79355669162422
109,CC110174,Whole Brain,187.9089359689506
110,CC110182,Aud.,191.74404043186306
111,CC110182,CON,178.38759012375203
112,CC110182,DAN,188.98830775964626
113,CC110182,DMN,194.0315055393574
114,CC110182,FPN,181.92317572582996
115,CC110182,Motor,185.32213452026625
116,CC110182,SAN,164.37760157062448
117,CC110182,Subc.,181.27139528175488
118,CC110182,VAN,210.47309930609617
119,CC110182,Vis.,181.01452296687575
120,CC110182,Whole Brain,185.69950859633937
121,CC110187,Aud.,202.29592286221853
122,CC110187,CON,179.68725016680185
123,CC110187,DAN,194.2134885408521
124,CC110187,DMN,192.71730775666322
125,CC110187,FPN,175.8566459940044
126,CC110187,Motor,180.92586473964596
127,CC110187,SAN,169.87712270330337
128,CC110187,Subc.,174.39030973350586
129,CC110187,VAN,197.9197015134796
130,CC110187,Vis.,189.60175443751362
131,CC110187,Whole Brain,185.7475133744168
132,CC110319,Aud.,194.75160946262528
133,CC110319,CON,180.32798675898073
134,CC110319,DAN,177.40881929017092
135,CC110319,DMN,190.33442505891227
136,CC110319,FPN,175.30026739228822
137,CC110319,Motor,191.4944064691157
138,CC110319,SAN,171.81885823184172
139,CC110319,Subc.,178.1578328936998
140,CC110319,VAN,215.61232949863424
141,CC110319,Vis.,182.54556719763514
142,CC110319,Whole Brain,185.48077956850136
143,CC110411,Aud.,199.13593156710704
144,CC110411,CON,204.02191241689732
145,CC110411,DAN,175.1356948331584
146,CC110411,DMN,192.3468755324254
147,CC110411,FPN,175.66337574110344
148,CC110411,Motor,190.4667821158914
149,CC110411,SAN,180.86467936477277
150,CC110411,Subc.,167.825962190822
151,CC110411,VAN,196.44702267226296
152,CC110411,Vis.,175.36729296931688
153,CC110411,Whole Brain,185.95735241864793
154,CC110606,Aud.,195.5508628334526
155,CC110606,CON,185.9469813158393
156,CC110606,DAN,172.18145927491548
157,CC110606,DMN,189.96445029212208
158,CC110606,FPN,185.95426600497498
159,CC110606,Motor,195.3980357191367
160,CC110606,SAN,170.77141406571357
161,CC110606,Subc.,181.36314524385924
162,CC110606,VAN,176.82183537367246
163,CC110606,Vis.,200.75067624636915
164,CC110606,Whole Brain,188.52975545234958
165,CC112141,Aud.,194.14983228153633
166,CC112141,CON,187.17340702711337
167,CC112141,DAN,189.2833099376245
168,CC112141,DMN,186.56860232021592
169,CC112141,FPN,176.41275894352114
170,CC112141,Motor,178.2022590792484
171,CC112141,SAN,174.7294083143308
172,CC112141,Subc.,179.89437803014764
173,CC112141,VAN,206.30510078611468
174,CC112141,Vis.,186.38573020909064
175,CC112141,Whole Brain,184.12809489346236
176,CC120008,Aud.,196.08280216706444
177,CC120008,CON,189.76208968831645
178,CC120008,DAN,201.88610736953603
179,CC120008,DMN,186.41751535551674
180,CC120008,FPN,173.00935712385862
181,CC120008,Motor,176.62242287900364
182,CC120008,SAN,180.72655836213679
183,CC120008,Subc.,173.1221490737034
184,CC120008,VAN,201.07416841343158
185,CC120008,Vis.,181.00711197442823
186,CC120008,Whole Brain,183.52259941540913
187,CC120049,Aud.,188.72300109400302
188,CC120049,CON,204.46932918879838
189,CC120049,DAN,187.0419758358633
190,CC120049,DMN,190.0857315965395
191,CC120049,FPN,175.03016603225112
192,CC120049,Motor,177.0643357218091
193,CC120049,SAN,182.30526166631904
194,CC120049,Subc.,169.37893974265253
195,CC120049,VAN,200.7968061711266
196,CC120049,Vis.,183.5615609098071
197,CC120049,Whole Brain,184.7757738632358
198,CC120061,Aud.,190.50396108447748
199,CC120061,CON,185.83951013457028
200,CC120061,DAN,190.07926932939344
201,CC120061,DMN,190.1713485597262
202,CC120061,FPN,180.64656207594143
203,CC120061,Motor,175.98739328262818
204,CC120061,SAN,185.22324235024345
205,CC120061,Subc.,182.36733812443205
206,CC120061,VAN,194.46878923078086
207,CC120061,Vis.,182.92318715215595
208,CC120061,Whole Brain,185.02228049805603
209,CC120065,Aud.,190.59487950626806
210,CC120065,CON,188.77886363613388
211,CC120065,DAN,182.45568535959117
212,CC120065,DMN,190.64379743221843
213,CC120065,FPN,185.43197962586842
214,CC120065,Motor,179.26950612752623
215,CC120065,SAN,169.66064560709157
216,CC120065,Subc.,178.54385434851923
217,CC120065,VAN,197.57868319184857
218,CC120065,Vis.,194.10284322525047
219,CC120065,Whole Brain,186.17214376208926
220,CC120120,Aud.,196.48082691570252
221,CC120120,CON,181.13778717771504
222,CC120120,DAN,208.99746727027434
223,CC120120,DMN,186.11344431100193
224,CC120120,FPN,184.38980516967956
225,CC120120,Motor,179.05546938884729
226,CC120120,SAN,177.453969343703
227,CC120120,Subc.,159.3918692546727
228,CC120120,VAN,205.08087179716082
229,CC120120,Vis.,181.11829307355526
230,CC120120,Whole Brain,184.01307812009316
231,CC120123,Aud.,193.25765376205817
232,CC120123,CON,183.56367652763123
233,CC120123,DAN,188.5823395716814
234,CC120123,DMN,186.8425347401786
235,CC120123,FPN,178.09895110639422
236,CC120123,Motor,189.19261373500467
237,CC120123,SAN,176.1300015124908
238,CC120123,Subc.,181.1943839866457
239,CC120123,VAN,192.85574564315905
240,CC120123,Vis.,187.86570870704074
241,CC120123,Whole Brain,185.64927253012104
242,CC120166,Aud.,191.1754191577118
243,CC120166,CON,187.03779048434518
244,CC120166,DAN,190.81766107876157
