,subject,net1,net2,MeanBVC
0,CC110033,FPN,CON,0.19692669941413798
1,CC110033,FPN,SAN,0.16240317839989007
2,CC110033,FPN,VAN,0.16374020894906366
3,CC110033,FPN,DAN,0.1721685069153246
4,CC110033,FPN,DMN,0.18251296468710013
5,CC110033,FPN,Motor,0.19700779742525493
6,CC110033,FPN,Aud.,0.20746608842272932
7,CC110033,FPN,Vis.,0.17120439505219906
8,CC110033,FPN,Subc.,0.16040025716331374
9,CC110033,FPN,Whole Brain,0.17787621567859171
10,CC110033,CON,FPN,0.19692669941413798
11,CC110033,CON,SAN,0.16462806242133893
12,CC110033,CON,VAN,0.16626522500048274
13,CC110033,CON,DAN,0.17420650928970965
14,CC110033,CON,DMN,0.19602597139636285
15,CC110033,CON,Motor,0.15591489869353098
16,CC110033,CON,Aud.,0.17576350982050845
17,CC110033,CON,Vis.,0.1979172768193643
18,CC110033,CON,Subc.,0.20455946218521337
19,CC110033,CON,Whole Brain,0.1816710795316958
20,CC110033,SAN,FPN,0.16240317839989013
21,CC110033,SAN,CON,0.16462806242133893
22,CC110033,SAN,VAN,0.14046805480623117
23,CC110033,SAN,DAN,0.15492019304132598
24,CC110033,SAN,DMN,0.1600139481093695
25,CC110033,SAN,Motor,0.14732145023879234
26,CC110033,SAN,Aud.,0.156887749138709
27,CC110033,SAN,Vis.,0.16287073255886814
28,CC110033,SAN,Subc.,0.15594156916941057
29,CC110033,SAN,Whole Brain,0.15499324112300594
30,CC110033,VAN,FPN,0.16374020894906366
31,CC110033,VAN,CON,0.16626522500048274
32,CC110033,VAN,SAN,0.14046805480623115
33,CC110033,VAN,DAN,0.1568215539710946
34,CC110033,VAN,DMN,0.16645024610806186
35,CC110033,VAN,Motor,0.15662471430305977
36,CC110033,VAN,Aud.,0.19464934425708674
37,CC110033,VAN,Vis.,0.1593682043186668
38,CC110033,VAN,Subc.,0.1403060576336689
39,CC110033,VAN,Whole Brain,0.15986021752893023
40,CC110033,DAN,FPN,0.1721685069153246
41,CC110033,DAN,CON,0.17420650928970965
42,CC110033,DAN,SAN,0.154920193041326
