,subject,net1,net2,MeanBVC
0,CC110033,FPN,CON,0.2411428063307019
1,CC110033,FPN,SAN,0.2174969950571611
2,CC110033,FPN,VAN,0.2462122063710842
3,CC110033,FPN,DAN,0.2486818862032045
4,CC110033,FPN,DMN,0.24353151041019508
5,CC110033,FPN,Motor,0.317512655395641
6,CC110033,FPN,Aud.,0.2516594661787793
7,CC110033,FPN,Vis.,0.2224590630520267
8,CC110033,FPN,Subc.,0.21999195061454158
9,CC110033,FPN,Whole Brain,0.24703933308786954
10,CC110033,CON,FPN,0.2761234837067798
11,CC110033,CON,SAN,0.2014939694048031
12,CC110033,CON,VAN,0.25347385252207977
13,CC110033,CON,DAN,0.2633508121790583
14,CC110033,CON,DMN,0.27201680386622307
15,CC110033,CON,Motor,0.2524107999721363
16,CC110033,CON,Aud.,0.23984442863596692
17,CC110033,CON,Vis.,0.26313271927860793
18,CC110033,CON,Subc.,0.3004013443124493
19,CC110033,CON,Whole Brain,0.2554321877901275
20,CC110033,SAN,FPN,0.2622081265778781
21,CC110033,SAN,CON,0.19200383350013947
22,CC110033,SAN,VAN,0.23276470715182246
23,CC110033,SAN,DAN,0.2404087629791289
24,CC110033,SAN,DMN,0.24218465425570682
25,CC110033,SAN,Motor,0.25314089218648056
26,CC110033,SAN,Aud.,0.210826378576334
27,CC110033,SAN,Vis.,0.22704230376121082
28,CC110033,SAN,Subc.,0.23663466012143006
29,CC110033,SAN,Whole Brain,0.23429932356823333
30,CC110033,VAN,FPN,0.18351383784202874
31,CC110033,VAN,CON,0.1565588029017469
32,CC110033,VAN,SAN,0.16011514076776093
33,CC110033,VAN,DAN,0.17391897415091115
34,CC110033,VAN,DMN,0.16402346526300995
35,CC110033,VAN,Motor,0.21216320566829652
36,CC110033,VAN,Aud.,0.18547267732778241
37,CC110033,VAN,Vis.,0.1647963053819425
38,CC110033,VAN,Subc.,0.1515627298275302
39,CC110033,VAN,Whole Brain,0.1736255667595554
40,CC110033,DAN,FPN,0.19701105410481454
41,CC110033,DAN,CON,0.19332067585919518
42,CC110033,DAN,SAN,0.17894155034091316
43,CC110033,DAN,VAN,0.20994452409922087
44,CC110033,DAN,DMN,0.19816155770347127
45,CC110033,DAN,Motor,0.260172108753762
46,CC110033,DAN,Aud.,0.19393662566838493
47,CC110033,DAN,Vis.,0.20404330511740004
48,CC110033,DAN,Subc.,0.19245092253863794
49,CC110033,DAN,Whole Brain,0.2057463647829038
50,CC110033,DMN,FPN,0.225765032893976
51,CC110033,DMN,CON,0.2153816611735015
