,subject,net1,net2,MeanGVC
0,CC110033,FPN,FPN,140.89970395388627
1,CC110033,FPN,CON,175.59242015617878
2,CC110033,FPN,SAN,144.87220043851445
3,CC110033,FPN,VAN,185.18716838899272
4,CC110033,FPN,DAN,183.42318311977348
5,CC110033,FPN,DMN,180.21026913798525
6,CC110033,FPN,Motor,170.3397866471878
7,CC110033,FPN,Aud.,194.55560880601226
8,CC110033,FPN,Vis.,165.5745043322293
9,CC110033,FPN,Subc.,156.2151051958776
10,CC110033,FPN,Whole Brain,168.99651432305592
11,CC110033,CON,FPN,177.52129411524947
12,CC110033,CON,CON,122.16595041094679
13,CC110033,CON,SAN,133.49919073695523
14,CC110033,CON,VAN,192.47248566997996
15,CC110033,CON,DAN,185.8586554621516
16,CC110033,CON,DMN,189.17886749961124
17,CC110033,CON,Motor,145.5892335929691
18,CC110033,CON,Aud.,182.5584522103591
19,CC110033,CON,Vis.,190.63769241711526
20,CC110033,CON,Subc.,193.61904701029565
21,CC110033,CON,Whole Brain,172.70244621902523
22,CC110033,SAN,FPN,176.7525256366311
23,CC110033,SAN,CON,158.60987526486815
24,CC110033,SAN,SAN,124.8825842746981
25,CC110033,SAN,VAN,201.94488027269023
26,CC110033,SAN,DAN,190.45740791877853
27,CC110033,SAN,DMN,188.01747939158213
28,CC110033,SAN,Motor,162.39379993834962
29,CC110033,SAN,Aud.,182.36731081426194
30,CC110033,SAN,Vis.,196.84331834494873
31,CC110033,SAN,Subc.,188.21244273192653
32,CC110033,SAN,Whole Brain,177.528493814516
33,CC110033,VAN,FPN,126.98136147251789
34,CC110033,VAN,CON,140.89948882637424
35,CC110033,VAN,SAN,122.05510118350806
36,CC110033,VAN,VAN,107.11222418691024
37,CC110033,VAN,DAN,125.45952365180466
38,CC110033,VAN,DMN,132.64610802952106
39,CC110033,VAN,Motor,119.18314664804859
40,CC110033,VAN,Aud.,143.5814581545824
41,CC110033,VAN,Vis.,130.51912393232692
42,CC110033,VAN,Subc.,121.414369697688
43,CC110033,VAN,Whole Brain,128.07916049367995
44,CC110033,DAN,FPN,145.62320204295827
45,CC110033,DAN,CON,155.5627186347167
46,CC110033,DAN,SAN,138.0304510724112
47,CC110033,DAN,VAN,144.33049983809406
48,CC110033,DAN,DAN,130.70553300712277
49,CC110033,DAN,DMN,144.29421941755234
50,CC110033,DAN,Motor,149.63196491423025
51,CC110033,DAN,Aud.,145.4471885156255
52,CC110033,DAN,Vis.,154.1148087345143
53,CC110033,DAN,Subc.,154.14442125841853
54,CC110033,DAN,Whole Brain,146.77427832969278
55,CC110033,DMN,FPN,164.1300782968604
56,CC110033,DMN,CON,178.15787527141626
57,CC110033,DMN,SAN,151.98833475062096
58,CC110033,DMN,VAN,178.24651493032937
59,CC110033,DMN,DAN,168.15914963320176
60,CC110033,DMN,DMN,158.42637474767307
61,CC110033,DMN,Motor,174.45715028201838
62,CC110033,DMN,Aud.,168.8792139983869
63,CC110033,DMN,Vis.,175.58367207023787
64,CC110033,DMN,Subc.,173.55309538893022
65,CC110033,DMN,Whole Brain,167.21760757025123
66,CC110033,Motor,FPN,167.8962968543229
67,CC110033,Motor,CON,156.4594436698
68,CC110033,Motor,SAN,145.70366542564702
69,CC110033,Motor,VAN,180.69222872786864
70,CC110033,Motor,DAN,186.7194058212581
71,CC110033,Motor,DMN,186.85626881794872
72,CC110033,Motor,Motor,138.23674126527766
73,CC110033,Motor,Aud.,188.17362030010887
74,CC110033,Motor,Vis.,180.61788985451022
75,CC110033,Motor,Subc.,168.56264120721355
76,CC110033,Motor,Whole Brain,170.15286970577415
77,CC110033,Aud.,FPN,161.06588644432884
78,CC110033,Aud.,CON,152.3195233817516
79,CC110033,Aud.,SAN,131.26407522833162
80,CC110033,Aud.,VAN,172.01066590692093
81,CC110033,Aud.,DAN,151.05193134601086
82,CC110033,Aud.,DMN,150.04621672408527
83,CC110033,Aud.,Motor,154.8231312693656
84,CC110033,Aud.,Aud.,136.40642047775478
85,CC110033,Aud.,Vis.,171.7713192384857
86,CC110033,Aud.,Subc.,165.38195447829264
87,CC110033,Aud.,Whole Brain,154.55269874933887
88,CC110033,Vis.,FPN,144.11786489069706
89,CC110033,Vis.,CON,178.79718366615717
90,CC110033,Vis.,SAN,151.1481337239974
91,CC110033,Vis.,VAN,166.5251267713745
92,CC110033,Vis.,DAN,178.71783438636163
93,CC110033,Vis.,DMN,174.35051360950322
94,CC110033,Vis.,Motor,166.81078900546015
95,CC110033,Vis.,Aud.,188.48847917860616
96,CC110033,Vis.,Vis.,149.25862325510698
97,CC110033,Vis.,Subc.,137.5356806603897
98,CC110033,Vis.,Whole Brain,163.440439143994
99,CC110033,Subc.,FPN,150.51580820959893
100,CC110033,Subc.,CON,193.8735480627852
101,CC110033,Subc.,SAN,162.21416529719693
102,CC110033,Subc.,VAN,176.9049550907967
103,CC110033,Subc.,DAN,196.76853943239655
104,CC110033,Subc.,DMN,188.33832728158464
105,CC110033,Subc.,Motor,165.92135467314856
106,CC110033,Subc.,Aud.,201.19447574693288
107,CC110033,Subc.,Vis.,156.6163655449598
108,CC110033,Subc.,Subc.,116.95220530970013
109,CC110033,Subc.,Whole Brain,171.25616291022305
110,CC110033,Whole Brain,FPN,158.0145634157789
111,CC110033,Whole Brain,CON,166.6199904576152
112,CC110033,Whole Brain,SAN,144.46005903010305
113,CC110033,Whole Brain,VAN,175.928225739186
114,CC110033,Whole Brain,DAN,174.3150249424011
115,CC110033,Whole Brain,DMN,171.25417177540226
116,CC110033,Whole Brain,Motor,159.9050036373819
117,CC110033,Whole Brain,Aud.,177.22552396545981
118,CC110033,Whole Brain,Vis.,170.2746861249464
119,CC110033,Whole Brain,Subc.,161.78636159981806
120,CC110033,Whole Brain,Whole Brain,165.61510205995162
121,CC110037,FPN,FPN,184.76321367475393
122,CC110037,FPN,CON,228.9854747071822
123,CC110037,FPN,SAN,221.1877062095975
124,CC110037,FPN,VAN,232.34904595694962
125,CC110037,FPN,DAN,224.66548361732927
126,CC110037,FPN,DMN,218.12804604616025
127,CC110037,FPN,Motor,221.71063037117497
128,CC110037,FPN,Aud.,233.31734473888835
129,CC110037,FPN,Vis.,201.9111316167883
130,CC110037,FPN,Subc.,212.66222498478427
131,CC110037,FPN,Whole Brain,215.03527100806133
132,CC110037,CON,FPN,214.9926128718153
133,CC110037,CON,CON,142.7900722556924
134,CC110037,CON,SAN,173.34020466076365
135,CC110037,CON,VAN,218.82838575326085
136,CC110037,CON,DAN,226.12745165624452
137,CC110037,CON,DMN,207.4924769876374
138,CC110037,CON,Motor,173.51419338630777
139,CC110037,CON,Aud.,201.43245199097237
140,CC110037,CON,Vis.,212.0735528197246
141,CC110037,CON,Subc.,205.63981995028462
142,CC110037,CON,Whole Brain,197.9213110425726
143,CC110037,SAN,FPN,226.76140199671661
144,CC110037,SAN,CON,197.87898867899074
145,CC110037,SAN,SAN,182.48199912975622
146,CC110037,SAN,VAN,220.63612950805117
147,CC110037,SAN,DAN,220.9496485242176
148,CC110037,SAN,DMN,209.54384062660816
149,CC110037,SAN,Motor,205.73531948211667
150,CC110037,SAN,Aud.,211.3696542994275
151,CC110037,SAN,Vis.,219.16358214628647
152,CC110037,SAN,Subc.,210.74293390304638
153,CC110037,SAN,Whole Brain,210.44280158885547
154,CC110037,VAN,FPN,213.4606532028681
155,CC110037,VAN,CON,208.99640736340714
156,CC110037,VAN,SAN,199.49916770409496
157,CC110037,VAN,VAN,149.05028179666067
158,CC110037,VAN,DAN,178.0305466153637
159,CC110037,VAN,DMN,182.73260382890336
160,CC110037,VAN,Motor,185.8211427259701
161,CC110037,VAN,Aud.,186.74445707546738
162,CC110037,VAN,Vis.,195.86644165169554
163,CC110037,VAN,Subc.,187.87710145658255
164,CC110037,VAN,Whole Brain,190.50017398157328
165,CC110037,DAN,FPN,215.7817438069108
166,CC110037,DAN,CON,221.05352561216625
167,CC110037,DAN,SAN,205.78120594372768
168,CC110037,DAN,VAN,186.27238169582085
169,CC110037,DAN,DAN,167.2225398369795
170,CC110037,DAN,DMN,198.57318861539926
171,CC110037,DAN,Motor,211.0836435220557
172,CC110037,DAN,Aud.,200.71923374451046
173,CC110037,DAN,Vis.,202.32418727785895
174,CC110037,DAN,Subc.,194.75962124984858
175,CC110037,DAN,Whole Brain,202.80153507771948
176,CC110037,DMN,FPN,204.79544475191202
177,CC110037,DMN,CON,204.78174208955002
178,CC110037,DMN,SAN,192.3478361670241
179,CC110037,DMN,VAN,198.13401007748715
180,CC110037,DMN,DAN,199.9734928111355
181,CC110037,DMN,DMN,188.00539984971527
182,CC110037,DMN,Motor,201.07055698539358
183,CC110037,DMN,Aud.,199.6437972483946
184,CC110037,DMN,Vis.,197.03090098965836
185,CC110037,DMN,Subc.,195.03817966236696
186,CC110037,DMN,Whole Brain,196.50403475514
187,CC110037,Motor,FPN,213.83459483486567
188,CC110037,Motor,CON,191.71350922138154
189,CC110037,Motor,SAN,192.79453107104044
190,CC110037,Motor,VAN,201.91103592807073
191,CC110037,Motor,DAN,210.7267839753645
192,CC110037,Motor,DMN,203.8213273514529
193,CC110037,Motor,Motor,167.43803684388604
194,CC110037,Motor,Aud.,203.43621096840485
195,CC110037,Motor,Vis.,211.03937922739954
196,CC110037,Motor,Subc.,203.7414545632903
197,CC110037,Motor,Whole Brain,199.0377738552938
198,CC110037,Aud.,FPN,203.96612226188608
199,CC110037,Aud.,CON,197.67498217693287
200,CC110037,Aud.,SAN,190.98878067264621
201,CC110037,Aud.,VAN,197.62985221381516
202,CC110037,Aud.,DAN,192.4600496339042
203,CC110037,Aud.,DMN,193.59469211409635
204,CC110037,Aud.,Motor,195.44707196890806
205,CC110037,Aud.,Aud.,182.69737928613318
206,CC110037,Aud.,Vis.,197.77587515745392
207,CC110037,Aud.,Subc.,197.45613395547792
208,CC110037,Aud.,Whole Brain,195.32995828621242
209,CC110037,Vis.,FPN,198.2206940906516
210,CC110037,Vis.,CON,221.7080974684971
211,CC110037,Vis.,SAN,207.905273743404
212,CC110037,Vis.,VAN,207.57521852350135
213,CC110037,Vis.,DAN,201.09636887013454
214,CC110037,Vis.,DMN,200.29882540046268
215,CC110037,Vis.,Motor,207.79874275956607
216,CC110037,Vis.,Aud.,215.06056468740115
217,CC110037,Vis.,Vis.,184.5509700579985
218,CC110037,Vis.,Subc.,190.5847076948543
219,CC110037,Vis.,Whole Brain,201.5615341768239
220,CC110037,Subc.,FPN,209.27490283288526
221,CC110037,Subc.,CON,210.5505870844943
222,CC110037,Subc.,SAN,198.65708286734258
223,CC110037,Subc.,VAN,213.97940048355227
224,CC110037,Subc.,DAN,212.13485039167517
225,CC110037,Subc.,DMN,204.280437825149
226,CC110037,Subc.,Motor,201.4437469717632
227,CC110037,Subc.,Aud.,209.32300402688804
228,CC110037,Subc.,Vis.,195.73726168071644
229,CC110037,Subc.,Subc.,171.4039317581098
230,CC110037,Subc.,Whole Brain,202.29059959111038
231,CC110037,Whole Brain,FPN,206.47757079356748
232,CC110037,Whole Brain,CON,204.28694885673335
233,CC110037,Whole Brain,SAN,196.98829501336957
234,CC110037,Whole Brain,VAN,205.45632088437605
235,CC110037,Whole Brain,DAN,205.68934120756091
236,CC110037,Whole Brain,DMN,199.96413094896852
237,CC110037,Whole Brain,Motor,197.5111851890506
238,CC110037,Whole Brain,Aud.,206.30587934773436
239,CC110037,Whole Brain,Vis.,200.8628093494443
240,CC110037,Whole Brain,Subc.,198.11995212429198
241,CC110037,Whole Brain,Whole Brain,201.20694211053018
242,CC110045,FPN,FPN,162.907708479429
243,CC110045,FPN,CON,213.82090030064919
244,CC110045,FPN,SAN,185.0272532974577
245,CC110045,FPN,VAN,214.95162513783384
246,CC110045,FPN,DAN,194.78361153815618
247,CC110045,FPN,DMN,205.6308888933489
248,CC110045,FPN,Motor,220.96522131211836
249,CC110045,FPN,Aud.,214.6535718632673
250,CC110045,FPN,Vis.,202.41601318394697
251,CC110045,FPN,Subc.,203.32523786653005
252,CC110045,FPN,Whole Brain,201.8086160852774
253,CC110045,CON,FPN,216.87122384664025
254,CC110045,CON,CON,152.35595948037
255,CC110045,CON,SAN,187.74956102994452
256,CC110045,CON,VAN,225.71163931042977
257,CC110045,CON,DAN,212.7701606718388
258,CC110045,CON,DMN,211.5227379377137
259,CC110045,CON,Motor,201.03437766651066
260,CC110045,CON,Aud.,208.51083553472364
261,CC110045,CON,Vis.,229.74947503869416
262,CC110045,CON,Subc.,241.90741037661223
263,CC110045,CON,Whole Brain,209.60702032621998
264,CC110045,SAN,FPN,200.8320061391467
