,subject,net2,MeanBVC
0,sub-01,Aud.,0.29513768432177434
1,sub-01,CON,0.3147021558541784
2,sub-01,DAN,0.311912596151513
3,sub-01,DMN,0.3277772804382102
4,sub-01,FPN,0.30778842122546735
5,sub-01,Motor,0.30562319744923194
6,sub-01,SAN,0.3245763601666975
7,sub-01,Subc.,0.3152552674669418
8,sub-01,VAN,0.3192316643130494
9,sub-01,Vis.,0.31948892574470206
10,sub-01,Whole Brain,0.31728878937503935
11,sub-02,Aud.,0.3018630049645974
12,sub-02,CON,0.31541084730189245
13,sub-02,DAN,0.3146730233346168
14,sub-02,DMN,0.3110271621484716
15,sub-02,FPN,0.3022367522926835
16,sub-02,Motor,0.31176477471336245
17,sub-02,SAN,0.3161703593339722
18,sub-02,Subc.,0.3191556756394986
19,sub-02,VAN,0.33181042554595247
20,sub-02,Vis.,0.32023040145141213
21,sub-02,Whole Brain,0.3144399157803469
22,sub-03,Aud.,0.29607014413534716
23,sub-03,CON,0.30940072788932593
24,sub-03,DAN,0.3182346552425655
25,sub-03,DMN,0.3223022543720554
26,sub-03,FPN,0.30575707268288105
27,sub-03,Motor,0.30416196471802615
28,sub-03,SAN,0.3080461874218354
29,sub-03,Subc.,0.34041241788867277
30,sub-03,VAN,0.3101188385039297
31,sub-03,Vis.,0.3242451036845169
32,sub-03,Whole Brain,0.3200329759676491
33,sub-04,Aud.,0.3126510952674154
34,sub-04,CON,0.30851504269703023
35,sub-04,DAN,0.3143674800925881
36,sub-04,DMN,0.3050674717219562
37,sub-04,FPN,0.3160682141729082
38,sub-04,Motor,0.30923948103038235
39,sub-04,SAN,0.31863045809282126
40,sub-04,Subc.,0.3285732012563085
41,sub-04,VAN,0.3138827718880927
42,sub-04,Vis.,0.31537122286450747
43,sub-04,Whole Brain,0.3164159034227948
44,sub-05,Aud.,0.2982429026402569
45,sub-05,CON,0.31814423591849994
46,sub-05,DAN,0.32056053874144974
47,sub-05,DMN,0.31799979248349497
48,sub-05,FPN,0.3029664359942818
49,sub-05,Motor,0.3221287535152474
50,sub-05,SAN,0.32406637050853704
51,sub-05,Subc.,0.3102312017489075
52,sub-05,VAN,0.3046955923172722
53,sub-05,Vis.,0.32093682792263595
54,sub-05,Whole Brain,0.31880969071622245
55,sub-06,Aud.,0.3167390554937444
56,sub-06,CON,0.3088530053661487
57,sub-06,DAN,0.3210377293899918
58,sub-06,DMN,0.3099371687031473
59,sub-06,FPN,0.3086716579178465
60,sub-06,Motor,0.31131630854878245
61,sub-06,SAN,0.3281950627332945
62,sub-06,Subc.,0.316277371241982
63,sub-06,VAN,0.3111036149801437
64,sub-06,Vis.,0.3122171076887813
65,sub-06,Whole Brain,0.3144342604429423
66,sub-09,Aud.,0.3126564674241362
67,sub-09,CON,0.3067178239072801
68,sub-09,DAN,0.32042145170378183
69,sub-09,DMN,0.30885297008323154
70,sub-09,FPN,0.3098366913497005
71,sub-09,Motor,0.3079236320578145
72,sub-09,SAN,0.3216771625770553
73,sub-09,Subc.,0.3221328470202173
74,sub-09,VAN,0.3203663418446269
75,sub-09,Vis.,0.31363699508647247
76,sub-09,Whole Brain,0.3145599594524887
77,sub-10,Aud.,0.3038657982263956
78,sub-10,CON,0.31430390039678485
79,sub-10,DAN,0.324979093992538
80,sub-10,DMN,0.3193331948813519
81,sub-10,FPN,0.30089303697056974
82,sub-10,Motor,0.30619857917055515
83,sub-10,SAN,0.3093847332407553
84,sub-10,Subc.,0.3142512946784339
85,sub-10,VAN,0.3194301997035843
86,sub-10,Vis.,0.33082309806536425
87,sub-10,Whole Brain,0.31531941318047185
88,sub-14,Aud.,0.29087136642892814
89,sub-14,CON,0.31312324828379123
90,sub-14,DAN,0.3224454469440251
91,sub-14,DMN,0.3249826647866502
92,sub-14,FPN,0.30238646375315026
93,sub-14,Motor,0.2981871762028639
94,sub-14,SAN,0.31533744525185786
95,sub-14,Subc.,0.33545213417600106
96,sub-14,VAN,0.3183732345521235
97,sub-14,Vis.,0.3188088033622293
98,sub-14,Whole Brain,0.3188143587651858
99,sub-15,Aud.,0.3223489777841032
100,sub-15,CON,0.3057966513114499
101,sub-15,DAN,0.319674023883564
102,sub-15,DMN,0.31040052085301495
103,sub-15,FPN,0.3136306693447725
104,sub-15,Motor,0.30620462813279714
105,sub-15,SAN,0.31382768817045564
106,sub-15,Subc.,0.3211093163100911
107,sub-15,VAN,0.3186557330099659
108,sub-15,Vis.,0.3125103132658757
109,sub-15,Whole Brain,0.3146238204407156
110,sub-16,Aud.,0.2953551491155472
111,sub-16,CON,0.31367465340099754
112,sub-16,DAN,0.3207312088716695
113,sub-16,DMN,0.3256854362101115
114,sub-16,FPN,0.3064318122824992
115,sub-16,Motor,0.31403360012345055
116,sub-16,SAN,0.3042836338427161
117,sub-16,Subc.,0.31823332315477426
118,sub-16,VAN,0.3138790315191892
119,sub-16,Vis.,0.327393521640061
120,sub-16,Whole Brain,0.3190809723457896
121,sub-17,Aud.,0.29090760324034787
122,sub-17,CON,0.30962131236743856
123,sub-17,DAN,0.3207779629120193
124,sub-17,DMN,0.32244203483027556
125,sub-17,FPN,0.3087048562283444
126,sub-17,Motor,0.3125733313280766
127,sub-17,SAN,0.3204422624824584
128,sub-17,Subc.,0.3152992743267355
129,sub-17,VAN,0.3175129750990714
130,sub-17,Vis.,0.3229271062053328
131,sub-17,Whole Brain,0.31757362348670515
132,sub-18,Aud.,0.3003148166495845
133,sub-18,CON,0.31340453937917395
134,sub-18,DAN,0.3141978690599205
135,sub-18,DMN,0.3226234493435449
136,sub-18,FPN,0.294101857932304
137,sub-18,Motor,0.30104754810489687
138,sub-18,SAN,0.313533830960517
139,sub-18,Subc.,0.3328041600847219
140,sub-18,VAN,0.3232271209903802
141,sub-18,Vis.,0.32701161502080234
142,sub-18,Whole Brain,0.31651553498095975
143,sub-19,Aud.,0.2919561490217571
144,sub-19,CON,0.31361535528393764
145,sub-19,DAN,0.3196192593831718
146,sub-19,DMN,0.3188632417411664
147,sub-19,FPN,0.30802824323915295
148,sub-19,Motor,0.3021083642692082
149,sub-19,SAN,0.3153264173172886
150,sub-19,Subc.,0.32135219078163646
151,sub-19,VAN,0.3275091801232196
152,sub-19,Vis.,0.3243846345022399
153,sub-19,Whole Brain,0.3160193068440267
154,sub-20,Aud.,0.2869330576315462
155,sub-20,CON,0.31340185219403194
156,sub-20,DAN,0.31380986575907455
157,sub-20,DMN,0.32664452358168167
158,sub-20,FPN,0.31259125064057314
159,sub-20,Motor,0.3009723051900305
160,sub-20,SAN,0.31935429901092344
161,sub-20,Subc.,0.3255659569282517
162,sub-20,VAN,0.3228218921564195
163,sub-20,Vis.,0.3191382692853981
164,sub-20,Whole Brain,0.31754907012887484
