,subject,net2,MeanBVC
0,sub-01,Aud.,0.20719991021586698
1,sub-01,CON,0.20511144016950378
2,sub-01,DAN,0.20425396648912825
3,sub-01,DMN,0.20582102919803727
4,sub-01,FPN,0.20066254493296679
5,sub-01,Motor,0.20083461373771977
6,sub-01,SAN,0.20708039287494562
7,sub-01,Subc.,0.20646584803418025
8,sub-01,VAN,0.19773881344511415
9,sub-01,Vis.,0.205137029106847
10,sub-01,Whole Brain,0.2037806312501136
11,sub-02,Aud.,0.20508182834137423
12,sub-02,CON,0.19933366894585314
13,sub-02,DAN,0.20529196951708348
14,sub-02,DMN,0.20223154785397712
15,sub-02,FPN,0.2064985111463336
16,sub-02,Motor,0.20489176422182626
17,sub-02,SAN,0.2040794411829551
18,sub-02,Subc.,0.2103833037257849
19,sub-02,VAN,0.20323066388270944
20,sub-02,Vis.,0.1998188917966835
21,sub-02,Whole Brain,0.20324462883984284
22,sub-03,Aud.,0.2149476413857939
23,sub-03,CON,0.20628825061650374
24,sub-03,DAN,0.20344855070072704
25,sub-03,DMN,0.20743289861385258
26,sub-03,FPN,0.19883696707541892
27,sub-03,Motor,0.2051942810527949
28,sub-03,SAN,0.2031335419884317
29,sub-03,Subc.,0.20438884936416538
30,sub-03,VAN,0.20235171124860085
31,sub-03,Vis.,0.1952009177362579
32,sub-03,Whole Brain,0.20286260967187647
33,sub-04,Aud.,0.21968258959372267
34,sub-04,CON,0.20999442455951717
35,sub-04,DAN,0.213459277553172
36,sub-04,DMN,0.207224259250278
37,sub-04,FPN,0.19567963642830233
38,sub-04,Motor,0.20497133912078996
39,sub-04,SAN,0.1966262795094206
40,sub-04,Subc.,0.20481122597614618
41,sub-04,VAN,0.1886580938857688
42,sub-04,Vis.,0.19904448040073494
43,sub-04,Whole Brain,0.20393461317657122
44,sub-05,Aud.,0.20304360849992614
45,sub-05,CON,0.19981687505489715
46,sub-05,DAN,0.20291329887610096
47,sub-05,DMN,0.2073556749297111
48,sub-05,FPN,0.20122830912498255
49,sub-05,Motor,0.206454112295363
50,sub-05,SAN,0.2051592457502894
51,sub-05,Subc.,0.2022392738178615
52,sub-05,VAN,0.210960571953148
53,sub-05,Vis.,0.20075906075109534
54,sub-05,Whole Brain,0.2041561884010489
55,sub-06,Aud.,0.2093209039428802
56,sub-06,CON,0.200730579942595
57,sub-06,DAN,0.20442556771276502
58,sub-06,DMN,0.2061675312137316
59,sub-06,FPN,0.20139459731266438
60,sub-06,Motor,0.20851862778057928
61,sub-06,SAN,0.2051774558488034
