,subject,net2,MeanGVC
0,sub-01,Aud.,0.27383753299763175
1,sub-01,CON,0.2844046118800368
2,sub-01,DAN,0.2818247307651951
3,sub-01,DMN,0.29279630996161427
4,sub-01,FPN,0.2794559741277516
5,sub-01,Motor,0.27920621152624586
6,sub-01,SAN,0.28938788906346136
7,sub-01,Subc.,0.2843694126639846
8,sub-01,VAN,0.283046793860819
9,sub-01,Vis.,0.28680443802587197
10,sub-01,Whole Brain,0.2859026196123319
11,sub-02,Aud.,0.2803440353570777
12,sub-02,CON,0.2866856630203707
13,sub-02,DAN,0.28281718332235556
14,sub-02,DMN,0.2813647478846781
15,sub-02,FPN,0.27687558523354666
16,sub-02,Motor,0.28447474082567953
17,sub-02,SAN,0.2830084303783598
18,sub-02,Subc.,0.28188382829581166
19,sub-02,VAN,0.29456209895703234
20,sub-02,Vis.,0.28547889890148914
21,sub-02,Whole Brain,0.28354131230854257
22,sub-03,Aud.,0.2738384080949588
23,sub-03,CON,0.2755234961453919
24,sub-03,DAN,0.288576581144004
25,sub-03,DMN,0.2913091980876997
26,sub-03,FPN,0.2777180770068039
27,sub-03,Motor,0.2778207200074024
28,sub-03,SAN,0.27924001375100027
29,sub-03,Subc.,0.2976422923678095
30,sub-03,VAN,0.28010485985430916
31,sub-03,Vis.,0.28968912745313685
32,sub-03,Whole Brain,0.2895737505724281
33,sub-04,Aud.,0.2841024441861675
34,sub-04,CON,0.280560707192775
35,sub-04,DAN,0.2823172120563801
36,sub-04,DMN,0.2782822814579584
37,sub-04,FPN,0.28407028582150634
38,sub-04,Motor,0.2789108254588643
39,sub-04,SAN,0.2859208224123223
40,sub-04,Subc.,0.2922072747548276
41,sub-04,VAN,0.2852914091106737
42,sub-04,Vis.,0.2843509967643574
43,sub-04,Whole Brain,0.2850222652691119
44,sub-05,Aud.,0.26994650883221877
45,sub-05,CON,0.2866342409850592
46,sub-05,DAN,0.2891250622838825
47,sub-05,DMN,0.28716007559583934
48,sub-05,FPN,0.2759976225321461
49,sub-05,Motor,0.2911951035596468
50,sub-05,SAN,0.2908556236085743
51,sub-05,Subc.,0.27629717471639015
52,sub-05,VAN,0.2767730855707046
53,sub-05,Vis.,0.2874869723709891
54,sub-05,Whole Brain,0.2895650544294936
55,sub-06,Aud.,0.2848084892634795
56,sub-06,CON,0.27974285819701805
57,sub-06,DAN,0.2872295258912843
58,sub-06,DMN,0.2800722101392132
59,sub-06,FPN,0.28045814051544576
60,sub-06,Motor,0.2827542735611534
61,sub-06,SAN,0.29052118286868267
62,sub-06,Subc.,0.28439813728988383
63,sub-06,VAN,0.28315871963484945
64,sub-06,Vis.,0.2838159840135343
65,sub-06,Whole Brain,0.28407700311039996
66,sub-09,Aud.,0.2876616601769897
67,sub-09,CON,0.2773839439802106
68,sub-09,DAN,0.28902902235820715
69,sub-09,DMN,0.28018184630607185
70,sub-09,FPN,0.2827573620424447
71,sub-09,Motor,0.28039159399627633
72,sub-09,SAN,0.2863871120558798
73,sub-09,Subc.,0.28681442917851846
74,sub-09,VAN,0.2830592300295001
75,sub-09,Vis.,0.2834859179173407
76,sub-09,Whole Brain,0.28388440644350443
77,sub-10,Aud.,0.27648242396600176
78,sub-10,CON,0.2806070461460477
79,sub-10,DAN,0.29132270052304116
80,sub-10,DMN,0.29074255031737384
81,sub-10,FPN,0.27767094085414157
82,sub-10,Motor,0.27717979898585254
83,sub-10,SAN,0.278468385737789
84,sub-10,Subc.,0.2805496385673772
85,sub-10,VAN,0.284904679423282
86,sub-10,Vis.,0.29516820257756665
87,sub-10,Whole Brain,0.2879401573864705
88,sub-14,Aud.,0.26884429646036756
89,sub-14,CON,0.28403327295199454
90,sub-14,DAN,0.28776121151106326
91,sub-14,DMN,0.29112314351822355
92,sub-14,FPN,0.27761144337431864
93,sub-14,Motor,0.2726843559095554
94,sub-14,SAN,0.28166498232953585
95,sub-14,Subc.,0.2979759458040523
96,sub-14,VAN,0.28466289052855087
97,sub-14,Vis.,0.2853965754214753
98,sub-14,Whole Brain,0.2892784066758071
99,sub-15,Aud.,0.29336056091310003
100,sub-15,CON,0.2769325155646388
101,sub-15,DAN,0.2859834340680352
102,sub-15,DMN,0.28078322076436063
103,sub-15,FPN,0.2855326860287153
104,sub-15,Motor,0.2776321193182636
