,subject,net2,MeanGVC
0,sub-01,Aud.,0.18815671250968402
1,sub-01,CON,0.18694787910786384
2,sub-01,DAN,0.1868585329344559
3,sub-01,DMN,0.18830180856754797
4,sub-01,FPN,0.18252405300676477
5,sub-01,Motor,0.1835346443402437
6,sub-01,SAN,0.1890542124999846
7,sub-01,Subc.,0.18786460360491308
8,sub-01,VAN,0.17699080227584815
9,sub-01,Vis.,0.1879727240046013
10,sub-01,Whole Brain,0.1865216518409616
11,sub-02,Aud.,0.18595874131046955
12,sub-02,CON,0.18091809921933855
13,sub-02,DAN,0.18607278515010234
14,sub-02,DMN,0.1857647117447626
15,sub-02,FPN,0.18870179717129076
16,sub-02,Motor,0.18744506657486346
17,sub-02,SAN,0.1856122358757469
18,sub-02,Subc.,0.19141596005014258
19,sub-02,VAN,0.1839171805275743
20,sub-02,Vis.,0.1825295624855521
21,sub-02,Whole Brain,0.18639148458302612
22,sub-03,Aud.,0.1976129240035134
23,sub-03,CON,0.18942300244665933
24,sub-03,DAN,0.1847324919189915
25,sub-03,DMN,0.1901337417466116
26,sub-03,FPN,0.18056583070873009
27,sub-03,Motor,0.1862425801330977
28,sub-03,SAN,0.18372978001382376
29,sub-03,Subc.,0.18677029843765441
30,sub-03,VAN,0.18227374394020168
31,sub-03,Vis.,0.17756564136706887
32,sub-03,Whole Brain,0.18567758997651707
33,sub-04,Aud.,0.20317433665899653
34,sub-04,CON,0.1934463325188342
35,sub-04,DAN,0.19663283000022913
36,sub-04,DMN,0.1901635045850396
37,sub-04,FPN,0.17626995060600154
38,sub-04,Motor,0.18666125753679974
39,sub-04,SAN,0.17755598914626072
40,sub-04,Subc.,0.18670298341197908
41,sub-04,VAN,0.16631252619478407
42,sub-04,Vis.,0.18095179491856575
43,sub-04,Whole Brain,0.18685611911537892
44,sub-05,Aud.,0.18329786916997043
45,sub-05,CON,0.1805084800416987
46,sub-05,DAN,0.18502950308325855
47,sub-05,DMN,0.19053379386515576
48,sub-05,FPN,0.18336029610914875
49,sub-05,Motor,0.1888454016141439
50,sub-05,SAN,0.18822341330412964
51,sub-05,Subc.,0.18357527960770395
52,sub-05,VAN,0.19175843142022486
53,sub-05,Vis.,0.1826687690249379
54,sub-05,Whole Brain,0.18692638745249715
55,sub-06,Aud.,0.19219551006554048
