,subject,net1,net2,MeanBVC
0,sub-01,FPN,CON,0.28137526410697705
1,sub-01,FPN,SAN,0.28760919883557606
2,sub-01,FPN,VAN,0.2784430541136649
3,sub-01,FPN,DAN,0.28124573964533456
4,sub-01,FPN,DMN,0.2906282657926147
5,sub-01,FPN,Motor,0.27552218087559566
6,sub-01,FPN,Aud.,0.26767593682636276
7,sub-01,FPN,Vis.,0.2832824313266889
8,sub-01,FPN,Subc.,0.282502168767019
9,sub-01,FPN,Whole Brain,0.28371597249660474
10,sub-01,CON,FPN,0.28137526410697705
11,sub-01,CON,SAN,0.2938586970545555
12,sub-01,CON,VAN,0.28401961452879876
13,sub-01,CON,DAN,0.28752817347937204
14,sub-01,CON,DMN,0.2994205087136685
15,sub-01,CON,Motor,0.280876274662479
16,sub-01,CON,Aud.,0.2701296692832974
17,sub-01,CON,Vis.,0.2936992435564206
18,sub-01,CON,Subc.,0.28758362710640156
19,sub-01,CON,Whole Brain,0.28946667828563405
20,sub-01,SAN,FPN,0.28760919883557606
21,sub-01,SAN,CON,0.2938586970545555
22,sub-01,SAN,VAN,0.28923264732736825
23,sub-01,SAN,DAN,0.29266524300688385
24,sub-01,SAN,DMN,0.3059055310637006
25,sub-01,SAN,Motor,0.28818702392327517
26,sub-01,SAN,Aud.,0.28069842662014155
27,sub-01,SAN,Vis.,0.2981815070509096
28,sub-01,SAN,Subc.,0.2938272955398283
29,sub-01,SAN,Whole Brain,0.2960821303512277
30,sub-01,VAN,FPN,0.2784430541136649
31,sub-01,VAN,CON,0.28401961452879876
32,sub-01,VAN,SAN,0.28923264732736825
33,sub-01,VAN,DAN,0.2879548906837109
34,sub-01,VAN,DMN,0.29810326040734375
35,sub-01,VAN,Motor,0.283044814940417
36,sub-01,VAN,Aud.,0.2738330740853903
37,sub-01,VAN,Vis.,0.2905251514659118
38,sub-01,VAN,Subc.,0.2879865070880964
39,sub-01,VAN,Whole Brain,0.28901525980454307
40,sub-01,DAN,FPN,0.28124573964533456
41,sub-01,DAN,CON,0.287528173479372
42,sub-01,DAN,SAN,0.29266524300688385
43,sub-01,DAN,VAN,0.2879548906837109
44,sub-01,DAN,DMN,0.296155642403049
45,sub-01,DAN,Motor,0.2721111431210616
46,sub-01,DAN,Aud.,0.26782072928211587
47,sub-01,DAN,Vis.,0.286104030362733
48,sub-01,DAN,Subc.,0.28374347059004557
49,sub-01,DAN,Whole Brain,0.2861944722820106
50,sub-01,DMN,FPN,0.2906282657926147
51,sub-01,DMN,CON,0.2994205087136685
52,sub-01,DMN,SAN,0.3059055310637006
53,sub-01,DMN,VAN,0.29810326040734375
54,sub-01,DMN,DAN,0.29615564240304904
55,sub-01,DMN,Motor,0.2911273079294995
56,sub-01,DMN,Aud.,0.2832091055519195
57,sub-01,DMN,Vis.,0.30005720944832165
58,sub-01,DMN,Subc.,0.2991143072313652
59,sub-01,DMN,Whole Brain,0.2999601426996891
60,sub-01,Motor,FPN,0.27552218087559566
61,sub-01,Motor,CON,0.28087627466247905
