,subject,net1,net2,MeanBVC
0,sub-01,FPN,CON,0.2875153124788742
1,sub-01,FPN,SAN,0.2872706104133495
2,sub-01,FPN,VAN,0.28767534918228754
3,sub-01,FPN,DAN,0.28842544832277744
4,sub-01,FPN,DMN,0.2871473036816701
5,sub-01,FPN,Motor,0.28826103794130725
6,sub-01,FPN,Aud.,0.2896885273842496
7,sub-01,FPN,Vis.,0.28237462646140754
8,sub-01,FPN,Subc.,0.2874223023660442
9,sub-01,FPN,Whole Brain,0.28529554030954496
10,sub-01,CON,FPN,0.2955684552259326
11,sub-01,CON,SAN,0.3037238798228941
12,sub-01,CON,VAN,0.298783294120624
13,sub-01,CON,DAN,0.3002925964674116
14,sub-01,CON,DMN,0.30421319318113765
15,sub-01,CON,Motor,0.29995271238162863
16,sub-01,CON,Aud.,0.3055720248039519
17,sub-01,CON,Vis.,0.30145158311743037
18,sub-01,CON,Subc.,0.30025168629233023
19,sub-01,CON,Whole Brain,0.30064190209559083
20,sub-01,SAN,FPN,0.2969586682163689
21,sub-01,SAN,CON,0.3045131010268114
22,sub-01,SAN,VAN,0.3057022143647157
23,sub-01,SAN,DAN,0.30157123762641225
24,sub-01,SAN,DMN,0.30572825172205603
25,sub-01,SAN,Motor,0.301455016013891
26,sub-01,SAN,Aud.,0.30553142178691256
27,sub-01,SAN,Vis.,0.303010440220395
28,sub-01,SAN,Subc.,0.3047148669696928
29,sub-01,SAN,Whole Brain,0.30259077421343805
30,sub-01,VAN,FPN,0.3011603921711294
31,sub-01,VAN,CON,0.302537264539137
32,sub-01,VAN,SAN,0.30915254038759693
33,sub-01,VAN,DAN,0.3026385992436588
34,sub-01,VAN,DMN,0.3048352022168366
35,sub-01,VAN,Motor,0.30056197680970725
36,sub-01,VAN,Aud.,0.3037483185817436
37,sub-01,VAN,Vis.,0.30108270590037267
38,sub-01,VAN,Subc.,0.30277858390620327
39,sub-01,VAN,Whole Brain,0.3016824816926365
40,sub-01,DAN,FPN,0.2952197808198429
41,sub-01,DAN,CON,0.298767312861227
42,sub-01,DAN,SAN,0.299216971192097
43,sub-01,DAN,VAN,0.29670146065463265
44,sub-01,DAN,DMN,0.2999014274654509
45,sub-01,DAN,Motor,0.29735274954268137
46,sub-01,DAN,Aud.,0.3043023244504284
47,sub-01,DAN,Vis.,0.2961819277320698
48,sub-01,DAN,Subc.,0.2983860252560967
49,sub-01,DAN,Whole Brain,0.2972621628535911
50,sub-01,DMN,FPN,0.2959990476097455
51,sub-01,DMN,CON,0.3040210506243282
52,sub-01,DMN,SAN,0.3056187669546358
53,sub-01,DMN,VAN,0.30216045307640393
54,sub-01,DMN,DAN,0.30214164709954827
55,sub-01,DMN,Motor,0.29988122530457617
56,sub-01,DMN,Aud.,0.30421710368061416
57,sub-01,DMN,Vis.,0.3020699188128702
58,sub-01,DMN,Subc.,0.3018911309701888
59,sub-01,DMN,Whole Brain,0.3009721333594026
60,sub-01,Motor,FPN,0.29429139760134054
61,sub-01,Motor,CON,0.2979790810895222
62,sub-01,Motor,SAN,0.2986066772243054
63,sub-01,Motor,VAN,0.2944603889208814
64,sub-01,Motor,DAN,0.2966850656136625
65,sub-01,Motor,DMN,0.29724568867970647
66,sub-01,Motor,Aud.,0.2994383736009928
67,sub-01,Motor,Vis.,0.29411037047271826
68,sub-01,Motor,Subc.,0.2980497851434121
69,sub-01,Motor,Whole Brain,0.295297016159028
70,sub-01,Aud.,FPN,0.2963399703092699
71,sub-01,Aud.,CON,0.30590516307670307
72,sub-01,Aud.,SAN,0.30260407867226075
73,sub-01,Aud.,VAN,0.30066910115273665
74,sub-01,Aud.,DAN,0.3037467412468136
75,sub-01,Aud.,DMN,0.3030146419147289
76,sub-01,Aud.,Motor,0.3006834465016723
77,sub-01,Aud.,Vis.,0.3015991554981025
78,sub-01,Aud.,Subc.,0.3049835910062052
79,sub-01,Aud.,Whole Brain,0.30140105566993736
80,sub-01,Vis.,FPN,0.28496598783422405
81,sub-01,Vis.,CON,0.29707003663458587
82,sub-01,Vis.,SAN,0.29716827761039827
83,sub-01,Vis.,VAN,0.2923337710577975
84,sub-01,Vis.,DAN,0.2937692157164069
85,sub-01,Vis.,DMN,0.2966982046976785
86,sub-01,Vis.,Motor,0.2900340831409492
87,sub-01,Vis.,Aud.,0.2984312943479834
88,sub-01,Vis.,Subc.,0.2933139700507743
89,sub-01,Vis.,Whole Brain,0.29309197893770567
90,sub-01,Subc.,FPN,0.2871095040341162
91,sub-01,Subc.,CON,0.29317578443760783
92,sub-01,Subc.,SAN,0.29677800188269005
93,sub-01,Subc.,VAN,0.29080886058200645
94,sub-01,Subc.,DAN,0.2926426858238423
95,sub-01,Subc.,DMN,0.2936084919040364
96,sub-01,Subc.,Motor,0.2927200026183121
97,sub-01,Subc.,Aud.,0.29915138467659935
98,sub-01,Subc.,Vis.,0.2907779672496348
99,sub-01,Subc.,Whole Brain,0.2918386912025437
100,sub-01,Whole Brain,FPN,0.2913417800894378
101,sub-01,Whole Brain,CON,0.29853978547824905
102,sub-01,Whole Brain,SAN,0.2996957556159537
103,sub-01,Whole Brain,VAN,0.29585007353611403
104,sub-01,Whole Brain,DAN,0.2968596324227988
105,sub-01,Whole Brain,DMN,0.2984852736626101
106,sub-01,Whole Brain,Motor,0.2951214673934327
107,sub-01,Whole Brain,Aud.,0.3004863887856157
108,sub-01,Whole Brain,Vis.,0.29588090651035626
109,sub-01,Whole Brain,Subc.,0.2972696405352686
110,sub-02,FPN,CON,0.29840863617567054
111,sub-02,FPN,SAN,0.302558493430738
112,sub-02,FPN,VAN,0.3045694600334364
113,sub-02,FPN,DAN,0.3148418625465095
114,sub-02,FPN,DMN,0.2988702311553273
115,sub-02,FPN,Motor,0.3122122170674551
116,sub-02,FPN,Aud.,0.303058254621959
117,sub-02,FPN,Vis.,0.3003583483644283
118,sub-02,FPN,Subc.,0.3207395865955925
119,sub-02,FPN,Whole Brain,0.30553069426144364
120,sub-02,CON,FPN,0.32199607369032734
121,sub-02,CON,SAN,0.30437623833433824
122,sub-02,CON,VAN,0.3018713884869656
123,sub-02,CON,DAN,0.3138308945055982
124,sub-02,CON,DMN,0.29963029025378796
125,sub-02,CON,Motor,0.30921088309474587
126,sub-02,CON,Aud.,0.304500735816608
127,sub-02,CON,Vis.,0.30321719036503186
128,sub-02,CON,Subc.,0.32179872737631493
129,sub-02,CON,Whole Brain,0.30635674293750037
130,sub-02,SAN,FPN,0.3389556481472289
131,sub-02,SAN,CON,0.31527980602780936
132,sub-02,SAN,VAN,0.32311843054369493
133,sub-02,SAN,DAN,0.3335403152886654
134,sub-02,SAN,DMN,0.31704765571132754
135,sub-02,SAN,Motor,0.32775473885256495
136,sub-02,SAN,Aud.,0.31964966311746285
137,sub-02,SAN,Vis.,0.31892292164786956
138,sub-02,SAN,Subc.,0.3403427544192575
139,sub-02,SAN,Whole Brain,0.32360172880657107
140,sub-02,VAN,FPN,0.33289999657703523
141,sub-02,VAN,CON,0.3037429179058738
142,sub-02,VAN,SAN,0.31625236066838913
143,sub-02,VAN,DAN,0.3284950372705746
144,sub-02,VAN,DMN,0.31096386238575097
145,sub-02,VAN,Motor,0.32091511299857894
146,sub-02,VAN,Aud.,0.31189263613630724
147,sub-02,VAN,Vis.,0.3108449828930731
148,sub-02,VAN,Subc.,0.3295948846506666
149,sub-02,VAN,Whole Brain,0.31633835524226733
150,sub-02,DAN,FPN,0.3353344687077171
151,sub-02,DAN,CON,0.30589453718156107
152,sub-02,DAN,SAN,0.3150714147945507
153,sub-02,DAN,VAN,0.3128883933759502
154,sub-02,DAN,DMN,0.3088628524454604
155,sub-02,DAN,Motor,0.32041017828210655
156,sub-02,DAN,Aud.,0.31292691662480504
157,sub-02,DAN,Vis.,0.3093678939242271
158,sub-02,DAN,Subc.,0.3305336675154588
159,sub-02,DAN,Whole Brain,0.3155900360787787
160,sub-02,DMN,FPN,0.3243180901212354
161,sub-02,DMN,CON,0.2977205777993333
162,sub-02,DMN,SAN,0.3066957483781321
163,sub-02,DMN,VAN,0.3091766863570471
164,sub-02,DMN,DAN,0.31752676052426454
165,sub-02,DMN,Motor,0.31115866212805904
166,sub-02,DMN,Aud.,0.30382878139422237
167,sub-02,DMN,Vis.,0.30297209775164785
168,sub-02,DMN,Subc.,0.3226344170267886
169,sub-02,DMN,Whole Brain,0.30745850241809153
170,sub-02,Motor,FPN,0.3303437339176018
171,sub-02,Motor,CON,0.3074991114230967
172,sub-02,Motor,SAN,0.3148036832022166
173,sub-02,Motor,VAN,0.3146860774102271
174,sub-02,Motor,DAN,0.3256267121422997
175,sub-02,Motor,DMN,0.3083161510982835
176,sub-02,Motor,Aud.,0.3140522445502049
177,sub-02,Motor,Vis.,0.3099788876686221
178,sub-02,Motor,Subc.,0.3315137038578839
179,sub-02,Motor,Whole Brain,0.3148699329303115
180,sub-02,Aud.,FPN,0.3347060438167328
181,sub-02,Aud.,CON,0.31093879153878556
182,sub-02,Aud.,SAN,0.31662085833036885
183,sub-02,Aud.,VAN,0.31333051018401586
184,sub-02,Aud.,DAN,0.33066346477537417
185,sub-02,Aud.,DMN,0.31084145840421296
186,sub-02,Aud.,Motor,0.3216128545687997
187,sub-02,Aud.,Vis.,0.31391171348262015
188,sub-02,Aud.,Subc.,0.33652050270362227
189,sub-02,Aud.,Whole Brain,0.31825602997457925
190,sub-02,Vis.,FPN,0.31638845435054125
191,sub-02,Vis.,CON,0.294940250005072
192,sub-02,Vis.,SAN,0.30085893817282766
193,sub-02,Vis.,VAN,0.30067404063684205
194,sub-02,Vis.,DAN,0.30947369732289165
195,sub-02,Vis.,DMN,0.2951996784963779
196,sub-02,Vis.,Motor,0.3046423042724452
197,sub-02,Vis.,Aud.,0.29905370021203787
198,sub-02,Vis.,Subc.,0.3151313948504163
199,sub-02,Vis.,Whole Brain,0.30160871525602984
200,sub-02,Subc.,FPN,0.325633969684413
201,sub-02,Subc.,CON,0.30267806308320044
202,sub-02,Subc.,SAN,0.3118565341912992
203,sub-02,Subc.,VAN,0.3072859209670566
204,sub-02,Subc.,DAN,0.3201990668070677
205,sub-02,Subc.,DMN,0.30215401381932755
206,sub-02,Subc.,Motor,0.3170489125445311
207,sub-02,Subc.,Aud.,0.3105568867955554
208,sub-02,Subc.,Vis.,0.3037762680086703
209,sub-02,Subc.,Whole Brain,0.31040843583869815
210,sub-02,Whole Brain,FPN,0.32538989409747965
211,sub-02,Whole Brain,CON,0.3014639305485289
212,sub-02,Whole Brain,SAN,0.3087870100707754
213,sub-02,Whole Brain,VAN,0.3087157642607691
214,sub-02,Whole Brain,DAN,0.3193844359035474
215,sub-02,Whole Brain,DMN,0.3029028247885384
216,sub-02,Whole Brain,Motor,0.31339137893025637
217,sub-02,Whole Brain,Aud.,0.30705457052659374
218,sub-02,Whole Brain,Vis.,0.30502563104036295
219,sub-02,Whole Brain,Subc.,0.3250594300478855
220,sub-03,FPN,CON,0.31344683612463425
221,sub-03,FPN,SAN,0.3160246889158733
222,sub-03,FPN,VAN,0.32271046874746934
223,sub-03,FPN,DAN,0.31878614216699097
224,sub-03,FPN,DMN,0.3155912845894507
225,sub-03,FPN,Motor,0.31772983700478946
226,sub-03,FPN,Aud.,0.31750010972357295
227,sub-03,FPN,Vis.,0.31162994186875986
228,sub-03,FPN,Subc.,0.31615275161055584
229,sub-03,FPN,Whole Brain,0.3148066338460824
230,sub-03,CON,FPN,0.3227405537487271
231,sub-03,CON,SAN,0.325158827042006
232,sub-03,CON,VAN,0.32775319660465496
233,sub-03,CON,DAN,0.3272607265831566
234,sub-03,CON,DMN,0.32720512437082133
235,sub-03,CON,Motor,0.3244373622007333
236,sub-03,CON,Aud.,0.3305140916682543
237,sub-03,CON,Vis.,0.3205109887151716
238,sub-03,CON,Subc.,0.32435425018495784
239,sub-03,CON,Whole Brain,0.32456038635560414
240,sub-03,SAN,FPN,0.32865337522506566
241,sub-03,SAN,CON,0.33030896091646544
242,sub-03,SAN,VAN,0.33618662032893853
243,sub-03,SAN,DAN,0.3328812407177725
244,sub-03,SAN,DMN,0.33188909543552847
245,sub-03,SAN,Motor,0.3343410039483668
246,sub-03,SAN,Aud.,0.33687363100980794
247,sub-03,SAN,Vis.,0.32926718656220716
248,sub-03,SAN,Subc.,0.33221445803366695
249,sub-03,SAN,Whole Brain,0.33137628007681896
250,sub-03,VAN,FPN,0.33681150392942233
251,sub-03,VAN,CON,0.3314745925850177
252,sub-03,VAN,SAN,0.3385538216321907
253,sub-03,VAN,DAN,0.3402069736558546
254,sub-03,VAN,DMN,0.33792591873215944
255,sub-03,VAN,Motor,0.3390051995846156
256,sub-03,VAN,Aud.,0.3386707841866754
257,sub-03,VAN,Vis.,0.33062060637814117
258,sub-03,VAN,Subc.,0.33572865775471
259,sub-03,VAN,Whole Brain,0.3355024567645551
260,sub-03,DAN,FPN,0.3306242560447736
261,sub-03,DAN,CON,0.32975878475368864
262,sub-03,DAN,SAN,0.33299866712171483
263,sub-03,DAN,VAN,0.34014389590043115
264,sub-03,DAN,DMN,0.33294056534123156
265,sub-03,DAN,Motor,0.3358606382200576
266,sub-03,DAN,Aud.,0.33685258781139304
267,sub-03,DAN,Vis.,0.32667452980742506
268,sub-03,DAN,Subc.,0.33084827377687764
269,sub-03,DAN,Whole Brain,0.33145589694572375
270,sub-03,DMN,FPN,0.32579812648902545
271,sub-03,DMN,CON,0.3293645677813289
272,sub-03,DMN,SAN,0.3290631656272445
273,sub-03,DMN,VAN,0.33473600488949073
274,sub-03,DMN,DAN,0.3310698489255002
275,sub-03,DMN,Motor,0.329834199360041
276,sub-03,DMN,Aud.,0.33433165363481226
277,sub-03,DMN,Vis.,0.32373973989745947
278,sub-03,DMN,Subc.,0.32709925650228905
279,sub-03,DMN,Whole Brain,0.32762897564053367
280,sub-03,Motor,FPN,0.32563097953937037
281,sub-03,Motor,CON,0.323553552235387
282,sub-03,Motor,SAN,0.3286622886504014
283,sub-03,Motor,VAN,0.3332672226799946
284,sub-03,Motor,DAN,0.33021343616585325
285,sub-03,Motor,DMN,0.3269643740096895
286,sub-03,Motor,Aud.,0.3302269883481706
287,sub-03,Motor,Vis.,0.3228677957697601
288,sub-03,Motor,Subc.,0.3267728400591292
289,sub-03,Motor,Whole Brain,0.3255449021028315
290,sub-03,Aud.,FPN,0.32686625775743183
291,sub-03,Aud.,CON,0.33167928890962806
292,sub-03,Aud.,SAN,0.3342380625572723
293,sub-03,Aud.,VAN,0.334390724668579
294,sub-03,Aud.,DAN,0.33562143610601425
295,sub-03,Aud.,DMN,0.33315997992210206
296,sub-03,Aud.,Motor,0.3336650390688548
297,sub-03,Aud.,Vis.,0.3268648238344293
298,sub-03,Aud.,Subc.,0.33061347745411235
299,sub-03,Aud.,Whole Brain,0.3306242775631165
300,sub-03,Vis.,FPN,0.3129425212583131
301,sub-03,Vis.,CON,0.3149484253699482
302,sub-03,Vis.,SAN,0.3177510465882226
303,sub-03,Vis.,VAN,0.3186292861907383
304,sub-03,Vis.,DAN,0.31649022258750725
305,sub-03,Vis.,DMN,0.3163393202599467
306,sub-03,Vis.,Motor,0.31610054124801557
307,sub-03,Vis.,Aud.,0.3196557443805491
308,sub-03,Vis.,Subc.,0.31317651756118886
309,sub-03,Vis.,Whole Brain,0.31455982793635906
