,subject,net1,net2,MeanGVC
0,sub-01,FPN,FPN,0.2779290208733711
1,sub-01,FPN,CON,0.28137526410697705
2,sub-01,FPN,SAN,0.28760919883557606
3,sub-01,FPN,VAN,0.2784430541136649
4,sub-01,FPN,DAN,0.28124573964533456
5,sub-01,FPN,DMN,0.2906282657926147
6,sub-01,FPN,Motor,0.27552218087559566
7,sub-01,FPN,Aud.,0.26767593682636276
8,sub-01,FPN,Vis.,0.2832824313266889
9,sub-01,FPN,Subc.,0.282502168767019
10,sub-01,FPN,Whole Brain,0.28371597249660474
11,sub-01,CON,FPN,0.28137526410697705
12,sub-01,CON,CON,0.29384941756022964
13,sub-01,CON,SAN,0.2938586970545555
14,sub-01,CON,VAN,0.28401961452879876
15,sub-01,CON,DAN,0.28752817347937204
16,sub-01,CON,DMN,0.2994205087136685
17,sub-01,CON,Motor,0.280876274662479
18,sub-01,CON,Aud.,0.2701296692832974
19,sub-01,CON,Vis.,0.2936992435564206
20,sub-01,CON,Subc.,0.28758362710640156
21,sub-01,CON,Whole Brain,0.28946667828563405
22,sub-01,SAN,FPN,0.28760919883557606
23,sub-01,SAN,CON,0.2938586970545555
24,sub-01,SAN,SAN,0.3003177379211504
25,sub-01,SAN,VAN,0.28923264732736825
26,sub-01,SAN,DAN,0.29266524300688385
27,sub-01,SAN,DMN,0.3059055310637006
28,sub-01,SAN,Motor,0.28818702392327517
29,sub-01,SAN,Aud.,0.28069842662014155
30,sub-01,SAN,Vis.,0.2981815070509096
31,sub-01,SAN,Subc.,0.2938272955398283
32,sub-01,SAN,Whole Brain,0.2960821303512277
33,sub-01,VAN,FPN,0.2784430541136649
34,sub-01,VAN,CON,0.28401961452879876
35,sub-01,VAN,SAN,0.28923264732736825
36,sub-01,VAN,VAN,0.2930761548548527
37,sub-01,VAN,DAN,0.2879548906837109
38,sub-01,VAN,DMN,0.29810326040734375
39,sub-01,VAN,Motor,0.283044814940417
40,sub-01,VAN,Aud.,0.2738330740853903
41,sub-01,VAN,Vis.,0.2905251514659118
42,sub-01,VAN,Subc.,0.2879865070880964
43,sub-01,VAN,Whole Brain,0.28901525980454307
44,sub-01,DAN,FPN,0.28124573964533456
45,sub-01,DAN,CON,0.287528173479372
46,sub-01,DAN,SAN,0.29266524300688385
47,sub-01,DAN,VAN,0.2879548906837109
48,sub-01,DAN,DAN,0.2813542758533288
49,sub-01,DAN,DMN,0.296155642403049
50,sub-01,DAN,Motor,0.2721111431210616
51,sub-01,DAN,Aud.,0.26782072928211587
52,sub-01,DAN,Vis.,0.286104030362733
53,sub-01,DAN,Subc.,0.28374347059004557
54,sub-01,DAN,Whole Brain,0.2861944722820106
55,sub-01,DMN,FPN,0.2906282657926147
56,sub-01,DMN,CON,0.2994205087136685
57,sub-01,DMN,SAN,0.3059055310637006
58,sub-01,DMN,VAN,0.29810326040734375
59,sub-01,DMN,DAN,0.29615564240304904
60,sub-01,DMN,DMN,0.30862913838159134
61,sub-01,DMN,Motor,0.2911273079294995
62,sub-01,DMN,Aud.,0.2832091055519195
63,sub-01,DMN,Vis.,0.30005720944832165
64,sub-01,DMN,Subc.,0.2991143072313652
65,sub-01,DMN,Whole Brain,0.2999601426996891
66,sub-01,Motor,FPN,0.27552218087559566
67,sub-01,Motor,CON,0.28087627466247905
68,sub-01,Motor,SAN,0.28818702392327517
69,sub-01,Motor,VAN,0.28304481494041706
70,sub-01,Motor,DAN,0.2721111431210616
71,sub-01,Motor,DMN,0.2911273079294995
72,sub-01,Motor,Motor,0.2704486786156321
73,sub-01,Motor,Aud.,0.2651935751687324
74,sub-01,Motor,Vis.,0.2839039265383228
